#word,meaning,option1,option2,option3
低估,underestimate,guess,assumption,to insist on
人格高尚,respectable,genesis,ginger,offhand
请安,courtesy,countess,courtly,hello
易怒,cross,frost,dross,gross
短门,hatch,hatchet,oath,heath
想法,conception,connection,convection,confection
踌躇,fluctuation,thirsting or hungering for sth.,compelled,panic
粘结,cement,element,clement,emend
桨,oar,or,tar,car
对…评定,rate,hate,rare,gate
收编,incorporate,reorganize,cut down and merge,organize into groups
孔雀,peacock,myna,shrike,woodpecker
哼曲子,hum,hut,ham,pus
脸红,blush,bush,slush,plush
禾谷,cereal,repeal,aerial,carnal
丑恶,foul,forum,bout,folk
作曲家,composer,compose,compiler,compote
(足球等)裁判员,referee,reverse,reserve,reference
谨防,beware,bewail,beard,berate
才智,intellect,interject,intersect,wise
可作装饰,decorative,hornpipe,poultice,incise
肩负,shoulder,boulder,shudder,solder
斥责,rebuke,rebuff,revoke,refuge
多山,mountainous,elder,liberality,bilge
投机,speculate,peculate,match,coincidence
节俭,thrifty,thrift,throaty,shifty
出发,head,bead,hear,tear
超声,ultrasonic,loud,glottal stop,modern  pronunciation of a Chinese character
废除,abolish,polish,foolish,to risk one's life
激发,provoke,promote,prove,revoke
人事部门,personnel,personal,committee,research institute
歹徒,bandit,pundit,candid,band
技巧,craft,graft,grant,tract
可疑,questionable,public,curious,magical mystical
监督,supervise,superfine,supervene,watch over
主因,dominant,ruminant,dominate,dominance
塑料,plastic,elastic,plaster,classic
商行,concern,concert,conceit,concur
调和,accord,accost,record,afford
沙丁鱼,sardine,saline,carmine,marine
聚众闹事,mob,mow,moss,bomb
肌肉发达,muscular,vascular,very red,limp
危机,peril,pearl,serial,per
劝诱,tempt,tempo,temper,tempest
议院,house,mouse,horde,hose
麻醉剂,opium,Chinese medicine,preparation,pill
麻烦事,bore,form,hole,bird
人造树脂,pitch,hutch,pith,witch
臀部,stern,stain,stir,star
宇宙,cosmic,comic,colic,cosmetic
疾病,disorder,disorderly,joint photo,incurable disease
类似物,analogue,catalogue,dialogue,analogy
狂妄自负的人,rooster,roster,holster,lobster
提供养分,nourish,tourism,tourist,flourish
厩,stall,call,atoll,squall
大大,widely,aunt,uncle,protector
低沉连续的声音,murmur,murder,fable,humanity
跛行,limp,limit,lip,lump
任命,nominate,dominate,abominate,nominal
单纯,simplicity,complicity,implicit,thereupon
不传导的,opaque,pique,plaque,clatter
鼓起(勇气),pluck,cluck,pack,luck
轻敲击声,rap,wrap,raw,van
氧化物,oxide,tide,ode,slide
回音,response,responsive,respond,repose
签证,visa,vase,vista,wish
强度,strength,strengthen,transparency,level
欠缺,deficient,deficit,deficiency,efficient
人类,humanity,humility,inhumanity,humanize
驱散,disperse,dispense,disburse,disease
压倒,overwhelming,as,to resemble,following
夸耀(才能等),parade,palace,partake,parody
取出,extract,extra,extinct,exact
背离,deviation,deflation,derivation,aviation
矿床,bed,bold,pew,bet
飞行,aviation,ovation,animation,avocation
(创造力)丰富的,fertile,textile,fertilize,reptile
俚语,slang,sling,clank,plant
鼓起(勇气),summon,summons,sermon,summer
无限,unlimited,a hundred times,to share,as much as possible
探险队,expedition,exposition,acid,axe
向北方,northward,southward,victory,split
论坛,forum,norm,drum,form
假装,sham,slum,shame,ham
折扣,discount,dismount,exchange rate,multiple
暴徒,gangster,canister,devil,dictator
迷信,superstition,confident,serious,believe
