#word,meaning,option1,option2,option3
underestimate,低估,预期,估计,出乎预料
rekindle,使再振作,种类,过,种类
relieved,免除,肃清,横扫,战胜
deter,制止,麻烦,纠缠,打扰
unevenly,不均衡地,卡车,学年,身强力壮的人
contact,使接触,在…中获胜,用途,最好
trove,被发现的东西,霹雳声,干,多么
shifting,运动,外流,对流,潮流
bunch,群,连接处,能源,工作人员
hatch,孵化,产卵,野生,生长
transcend,超出,类似,正如,胜过
breath,呼吸,吸气,发声,舔
pave,铺设,安装,放置,架构
acceleration,加速度,周长,频道,面积
quail,鹌鹑,鸵鸟,猫头鹰,枭
greedy,贪婪,自私,贞洁,浪漫
post,柱,宁愿,被雾笼罩,容易
conception,观念,智能,精神,创作力
overdue,迟到,半夜三更,初,高效率
congested,拥挤,隆重,吵闹,冷淡
syllable,（语音）音节,精巧,视为,弄平
fluctuation,波动,安生,冷淡,和平
moisture,潮湿,闷热,独创性,现有
salient,显著,有用,含糊,隐约
swamp,沼泽,北美,南沙,草地
advancement,进展,继承,中止,休战
encyclopedia,百科全书,小册子,新书,年鉴
produce,生产,分娩,褪色,速冻
remedy,药物,中药,奶酪,威士忌酒
ecosystem,生态系统,发射,警察,具有
migrant,移民,干部,职工,秘书
blush,脸红,暗送秋波,悲泣,害羞
aluminum,铝,黄金,黄铜,白铜
foul,污秽,俨然,神经过敏,洁净
kerosene,煤油,焦油,酒精,石油
therefore,因此,看来,因为,是否
myth,神话,编年史,传记,小说
enzyme,酶,摄影者,溜走,咳
malnutrition,营养不良,不乐意的,侦察(用)的,(一串)
slip,滑动,外流,挪动,对流
juice,（水果）汁,信,毁坏,公布
metaphor,隐喻,称呼,就是说,看作
counterbalance,使平衡,下决心,天井,相当
refrigerator,冰箱,仓库,核电站,发电厂
footnote,脚注,经典,备注,注解
paycheck,付薪水的支票,多方面的,醒悟到,哎呀
unobstructed,畅通无阻,堵车,通风,不期而遇
stagnant,停滞,收盘,截至,停止
waist,腰,膀子,马背,背脊
intellect,智力,天才,才智,度量
dragonfly,蜻蜓,蟑螂,甲虫,昆虫
carving,雕刻品,速写,雕塑,绘制
decorative,装饰,安装,酿造,组装
oxygen,氧气,氮气,阿摩尼亚,热气
converter,炼钢转炉,说话方式,勇敢地面对(危险等),锋利
rebuke,斥责,驳斥,谴责,批评
courteously,有礼貌地,必不可少,不要紧,不对
speculate,沉思,白日做梦,感激,想象
undergo,经历,度假,熬夜,度过
thrifty,节省,平衡,抽出,浪费
intellectual,知识分子,作家,白面书生,学者
trilogy,三部剧,作文,短文,韵文
cliff,悬崖峭壁,边卡,城关,要塞
costume,服装,西装,长袍,大衣
ultrasonic,超音速的,很,怀疑,物理学家
butter,黄油,池盐,酱,油脂
abolish,废除,弃权,舍命,爱屋及乌
provoke,激怒,纠缠,顶撞,麻烦
shocking,骇人听闻,不得人心,富于,广博
strap,用带缚住,小路,旅游,厌烦
fanatic,狂热,堵塞,发狂,瘫痪
phenomenally,明白,知悉,忘记,意识
personnel,人员,家伙,群众,个人
overt,公然,敦厚,转弯,刚直
craft,工艺,本能,高技术,骗术
consort,陪伴,拥护,晤面,送别
sparse,稀疏,繁荣,稠密,大多数
voluntary,自愿,不许,悔罪,愿意
defense,防卫物,视为,科学,(植物)结实
emancipation,释放,开庭,捕捉,审讯
gazette,政府公报,极其,辩护,会议
consequently,从而,看来,由于,由此可见
questionable,可疑,官方,不伦不类,不可思议
supervise,监督,督促,监视,巡查
meaningful,意味深长,尖锐,轻微,可观
readily,容易,需要,提供,供应
hydrogen,氢,分,祝,尺寸
wristwatch,手表,丧钟,摆钟,晴雨表
disseminate,传播,遗传,传输,流行
ethics,道德规范,破布,最重要的,区域
afford,提供,供需,需要,满足
abut,邻接,渗漏,将近,短路
nonhuman,非人类的,责任,战役,令人惊讶
carapace,（蟹或龟的）甲壳,排球运动,保险箱,歼击机
hay,干草,薄荷,藜,苔藓
dominant,支配,限于,束缚,制约
precipitate,猛地落下,无论哪个(或哪些),哪(个)人的,判决
auger,螺丝钻,停车,支配,察觉
incongruous,不协调的,不确知的,作出反应,用
algae,海藻,香草,青草,稻草
fruitfulness,硕果累累,初步,小题大做,动工
confirm,证实,表明,预兆,显得
fable,寓言,小说,特写,本子
buzzer,蜂鸣器,背景,是的,平均
lava,熔岩,蛋白石,大理石,白云石
economical,经济,一举两得,小题大做,损失
staff,全体人员或职员,代替,逗留,文件
damp,潮湿,不透气,破旧,新型
heyday,全盛期,接替,一会儿,儿子
well-being,安宁,多情,扰乱,喜新厌旧
muscular,强壮,雌雄,弱小,年轻
tempt,诱使,引入,恐吓,强制
house,给…提供住所,在…外面,仅仅,能力
cardinal,一种美洲鸟,地位(现在很少用),尽可能多,推动
meticulous,一丝不苟,断断续续,不知死活,节俭
irregularly,不规则地,农庄,统治,跳跃
baggage,行李,把头,帮闲,主席
maize,玉米,冬麦,谷类,大麦
bore,钻孔,职位,规矩,彻底地
pitch,音高,频道,角度,周长
security,安全,舒适,幸福,治安
legible,(指印刷或字迹)清楚地,跟踪,轮廓,筹划
kiln,（砖、石灰等）窑,破的,恶毒,训练员
liberate,释放,逮捕,捕捉,传讯
optional,可自由选择的,粗俗,筹备,(用链条)拴住
unrestrained,无限制的,脑,完全,开业
stern,严厉,宽限,不自量,鄙吝
aurora,极光,白热,热线,本影
cosmic,宇宙,插座,翅膀,火星
backpack,背包,手提包,钱包,钱袋
remark,评论,点名,鉴定,督促
chaos,混乱,蓬松,失调,污染
rooster,公鸡,松鸡,锦鸡,鸥
nourish,滋养,因素,氨基,谓语
ductile,柔软,坚固,韧性,简单
obstruction,障碍物,介质,文物,博物
amaze,使吃惊,摸,拉,观光
incessant,不停,预先,按时,原本
bicameral,两院制的,挑选,高兴,启示
promote,晋级,贬低,待业,丢人
couple,连合,切断,互通,对垒
conglomerate,混合,环绕,包围,散播
rustproof,不锈,咳,办,去
fold,折叠,安放,衬里,覆盖
clog,障碍,宝藏,赘疣,束缚
incongruity,不一致,大陆,动力,贵重
nominate,提名,代替,保送,露面
simplicity,朴素,断断续续,拖拉,笨鸟先飞
opaque,不透明的,紧握,微型计算机,结构
dormant,静止,浴血,板滞,定型
vegetable,蔬菜,白菜,盖菜,燕麦
efficient,能干,本本主义,无所不能,对答如流
fortune,财富,财帛,不义之财,地产
folding,可折叠的,间隔,主题,演说
halt,（使）停止,抱怨,包,慢吞吞地
deficient,缺乏,亏损,相差,动态平衡
tardiness,迟到,速成,短距离,初
cowboy,牛仔,豪侠,贤能,懦夫
humanity,人性,本性,身体,同辈
disperse,分散,不欢而散,抢先,扩散
touchdown,着地,日落,退潮,跌价
cushion,缓和…的冲力,侍候,保驾,照料
outgrow,生长速度超过…,伤害,性别,页
parade,游行,对抗,罢课,南面
spined,有脊骨的,最远,暂停,七十(个
escape,避开,避免,顾忌,以免
solder,焊接,保修,锻压,培修
radiation,发光,闪亮,呜咽,爆炸
rupture,断裂,放置,崩裂,断头
depressed,沮丧,大煞风景,得意,阴谋
swelling,肿胀,咳嗽,泻肚,镇痛
starve,挨饿,口渴,打喷嚏,醉
container,集装箱,手提箱,暗盒,盒子
extract,榨取,走私,讹诈,剥削
association,关联,弃权,相关,连锁反应
threadlike,线状,离开,不幸运的,远
aviation,航空,航行,巡弋,搭乘
deception,欺骗,欺瞒,糊弄,任凭
incorpoarate,合并,久违,众志成城,三位一体
transmute,使变化,陆地,丛林,运河
fertile,主意多的,祖母,母鸡,精液
broadcast,传播,搅和,谣传,传输
doubtful,疑心,信仰,可以,赞成
eclecticism,折衷主义,无神论,法理,中学
pillow,枕头,毯子,棉被,地毯
shear,修剪,切片,雕刻,砍伐
explode,爆炸,呜咽,发光,咆哮
attract,吸引,引人注意,免疫,挑起
chateau,城堡,牌楼,危房,校舍
output,输出,贸易额,财贸,进出口
nonsense,胡说,谈话,赘述,诉说
memory,记忆,挂念,追悼,难忘
alchemy,炼金术,卡住,主角,奇异
expedition,探险队,使中圈套,转化,可怜
creep,爬行,一次机会,祝,语法现象
depositor,存款人,股东,君主,承包人
legislature,立法机关,插头,钢笔,借口
fishy,腥臭,斑驳,甜美,香气
sprawl,扩展,改装,蔓延,改编
shipwright,造船工人,总数,裁决,起源
discount,不全信,妒忌,明亮,吸烟
obliterate,涂掉,将军,又,玷污
crew,全体工作人员,毛衣,堂(表)姐妹,今夜
specify,明确说明,试用,粗陋,习惯于…
treacherous,不可靠的,抢占,指控,模型
longevity,长寿,强健,雄,步履维艰
formative,形成中的,散漫,六(个,不动
haunted,鬼魂出没,挑衅,祝福,编造
messy,凌乱,失调,艰难,俨然
partial,部分,繁杂,繁荣,斑斑
endlessly,不断,总是,临时,随时
overtime,超时,吃不消,耽搁,满期
minimal,最小,矮小,逼仄,宽阔
healthful,有益健康,扎,校订者,假设
draft,起草,布局,著作,动笔
