you	pron.你;你这个
to	prep.到;离
the	det.定冠词;表示特指
and	conj.和
that	det.那个
it	pron.它
of	prep....的;含有...的
me	pron.我
what	pron.什么;无论什么
in	prep.在...里面;在...期间
this	pron.后者;这
know	v.记住;确知
for	prep.为;为了
no	adv.不;毫不n.不;反对票
have	v.拿取;有
my	det.我的
just	adj.应得的;正义的adv.刚才;只是
not	adv.并非;不
do	v.做
be	v.表示;是
on	prep.靠近...;在...里
your	det.你的
we	pron.我们;人们
with	prep.加在...上;在...一边
so	adv.啊;同样conj.为了;因此
but	conj.但是
all	adv.单单;更其pron.全体;一切
well	adj.对的;井的adv.好;很n.好;井v.涌出;流出
he	pron.他;一个人
about	adj.活动中的prep.在...附近;在...前后
right	adj.合适的;正当的adv.好;正当地n.实况;正当v.补救;纠正
get	v.获得;取得
here	pron.这里
out	adv.出;呸prep.从...里面;从...中出来
going	adj.成功的;去的n.地面状况;去
like	adj.相同的;相像的prep.比如;像conj.好像;如同v.喜欢;要
yeah	adv.是的
if	conj.假如;使
her	pron.她
she	pron.它;她
can	aux.可以;能n.大酒杯;容器v.把...装罐保存
up	prep.往...的上端;往...的上游
want	n.缺乏;需要v.缺乏;要
think	v.想;想像
now	pron.现在
go	v.对付;忍受
him	pron.他
at	prep.向;在...里
how	adv.多少;怎样
there	pron.那里
one	n.一;一体
why	adv.为什么
see	v.察看;看
come	v.搞;来
good	adj.好的;正当的
they	pron.人们;他们
really	adv.很;说真的
as	prep.当作;像conj.当...时;像...
look	n.察看;看v.看
when	adv.其时;什么时候conj.其时;一...就
time	n.时间;时刻v.调准;为...定时
will	aux.将;能n.决心;意愿
okay	adj.表示同意的adv.好n.同意v.批准
back	adj.背后的;边远的adv.往回;向后n.背;缸v.使后退;后退
mean	adj.卑鄙的;低劣的n.平均;中间v.意味着;意指
tell	v.吩咐;讲
from	prep.从;从...来
hey	adv.嘿
yes	adv.不对;是n.是;赞成票
his	pron.他的;它的
or	conj.或者
