#word,meaning,option1,option2,option3
underestimate,低估,猜测,出乎预料,展望
ramification,分支,格外,半公开,国立
deter,吓住,烦扰,缠绕,困扰
contact,接触,冲击,刺激,着
courtesy,礼貌,葬礼,风俗,礼节
bunch,一串,在这一点上,电报,社会党人
stuntman,特技演员,描绘,不是,小姐
gullible,易受骗的,不多,产生,非凡
hatch,孵化,野生,生长,产卵
transcend,超越,便宜,制止,主宰
hijack,揩油,抄袭,侵吞,讹诈
phonetic,表示语音,量词,陈述句,动词
pave,铺,放置,架构,装置
subliminal,潜意识的,设置,渐衰期,尝试
adolescence,青春期的,大人,宝宝,奶奶
swerve,转向,改口,改编,改装
greedy,贪吃,口渴,饥饿,醉
conception,概念,意思,大体,端倪
overdue,(债款)到期还未付,嫩枝,女人,蔓延
conquest,攻取,占据,扰乱,吞并
congested,挤塞,印,快活,命运
upkeep,维持,沉浸,在内,陷于
syllable,音节,嗓,叫声,叮当
cement,水泥,丹砂,烂泥,石灰
probation,试用(期),期考,实验,补考
swamp,沼泽,沙漠,平原,亚洲
oar,划(行),末尾,密,九
mishap,不幸,好运,暴发,不得了
encyclopedia,百科全书,年鉴,碑帖,参考书
remedy,疗法,乘法,魔法,巫术
incorporate,合并,互联,已婚,分别
hum,哼歌,激起,还原,姨母
ecosystem,生态系统,存款,短讯,明信片
migrant,移民,职员,职工,秘书
blush,脸红,哭泣,唉声叹气,不好意思
cereal,谷物,小麦,菌类,谷类
foul,丑恶,其余,之一,罪恶
melt,消散,衍生,失去,爆发
kerosene,煤油,汽油,石油,酒精
referee,裁判,公审,定案,判处
myth,神话,传记,特写,散文
enzyme,酵素,对比,短讯,关键
malnutrition,营养不良,要求,珍品,捕获物
slip,滑倒,行骗,公务,更
hilarious,充满欢乐,篓,最近,观点
oncoming,接近,异步,俨然,反过来说
metaphor,隐喻,就是,称呼,所谓
counterbalance,使平衡,车票,岛民,显露
refrigerator,冰箱,告诫,排列,试图
strategic,战略(上)的,纸板,拖延,人类
decade,十年,老年,中年,当年
disposable,可任意使用的,这些,铺开,点头同意
carousel,喧闹的酒会,大多数,思想,永远
stagnant,不流动的,收盘,停火,下课
incision,切口,口号,梦话,脏话
intellect,理智,操行,性行,虐
insolvent,无钱还债,前途,诙谐,欢乐或赞美之歌
nylon,尼龙,咬,题词,(表示惊讶、恐惧、痛苦等)哦
tumour,瘤,政权,机关,内阁
conversely,相反,还,断断,哪里
entice,纵恿,逼债,胁迫,强奸
speculate,推测,公认,发现,估计
undergo,遭受,挨打,遂,多达
intellectual,显示智力,笑,太空船,平均
costume,戏服,斗篷,哔叽,大衣
ultrasonic,超声,喉塞音,今音,鼻音
nuisance,讨厌的东西,摘,逃过..的注意,丰富
abolish,废除,舍命,放弃,埋没
provoke,煽动(行动),发现,处,拉伤
strap,带,开玩笑的事物,效果,穿
fanatic,狂热者,期限,口头,视力
maximum,最大量,糖果,普通,磁带录音
