#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
再点火,rekindle,easily,colonist,story
免除,relieved,to sweep away,scrub,to conquer
使踌躇,deter,deem,defer,deer
不均衡地,unevenly,personnel,dull,affluence
使接触,contact,contest,constant,connect
被发现的东西,trove,adage,categorize,panic
运动,shifting,current,to flow out,convection
串,bunch,brunch,lunch,bench
孵化,hatch,fetch,hat,catch
超出,transcend,transient,can't compare with,generally speaking
呼吸,breath,wrath,breadth,reach
铺设,pave,raven,wave,dare
加速度,acceleration,channel,illumination,angle
鹌鹑,quail,ail,quake,quack
贪婪,greedy,creed,greed,grey
邮件,post,not,put,pout
观念,conception,convection,confection,concession
迟到,overdue,overrule,overture,overdo
拥挤,congested,bustling with noise and excitement,quiet,desolate
（语音）音节,syllable,syllabus,salable,blame
波动,fluctuation,peace,bide one's time,yellow
湿度,moisture,mixture,posture,jointure
显著,salient,talent,alien,aliment
沼泽,swamp,cramp,swap,scamp
进展,advancement,continuous,loop,develop simultaneously
百科全书,encyclopedia,almanac,encyclopedia,a rubbing from a stone inscription
生产,produce,producer,product,traduce
药物,remedy,emery,recede,comedy
生态系统,ecosystem,fluorine,relevant,backwater
候鸟,migrant,vagrant,emigrant,vibrant
脸红,blush,bosh,brash,plush
铝,aluminum,bronze,brass,aluminum
污秽,foul,poll,fond,tout
煤油,kerosene,gas,tar,oil
因此,therefore,wherefore,thereupon,like that
神话,myth,moth,mash,mirth
酶,enzyme,inquire,testimony,Eucharist
营养不良,malnutrition,symphony,recall,emotional
滑倒,slip,sin,zip,slur
（水果）汁,juice,rice,guile,dunce
隐喻,metaphor,analogy,collectively called,may after all be accepted as
使平衡,counterbalance,humbug,matrix,computer
冰箱,refrigerator,city gate tower,nuclear arsenal,storage
脚注,footnote,commentary,literature,remarks
付薪水的支票,paycheck,mainstay,lure,establish
畅通无阻,unobstructed,block the traffic,ventilate,adhere
停滞,stagnant,stagnate,to halt,by 
腰,waist,mast,hoist,fast
智力,intellect,interject,intersect,will to fight
蜻蜓,dragonfly,beetle,cricket,midge
雕刻品,carving,to draft,simple and straightforward style of writing,cut and polish
装饰,decorative,make,assemble and install,put
氧气,oxygen,heat,carbon dioxide,atmosphere
炼钢转炉,converter,shamble,glaze,pop
斥责,rebuke,reduce,resume,refuse
有礼貌地,courteously,disastrous,indispensable,it doesn't matter
推测,speculate,peculate,to discover,guess
经历,undergo,underdog,under,go on holiday
节省,thrifty,thrift,thirty,shifty
智力,intellectual,will to fight,gift,ability and wisdom
三部剧,trilogy,filler ,lengthy ,verse
悬崖峭壁,cliff,click,bluff,clink
服装,costume,posture,consume,contuse
超音速的,ultrasonic,unrivalled,panorama,long
黄油,butter,bluster,battery,clutter
废除,abolish,polish,foolish,to abandon
激怒,provoke,revoke,prove,propose
骇人听闻,shocking,extensive,touching,critical
用带缚住,strap,stream,strum,straw
狂热,fanatic,fantastic,frantic,lunatic
明白,phenomenally,memory,to know,see clearly
人员,personnel,personal,individual,the "person in the street"
明显,overt,revert,avert,ovary
工艺,craft,cart,graft,cant
陪伴,consort,contort,consult,consist
稀少,sparse,spree,spate,scare
自愿,voluntary,conviction,look cold and indifferent,regret
防卫,defense,defend,defence,defensive
释放,emancipation,catch,to catch,reeducation through labor
政府公报,gazette,gazetteer,gazelle,palette
从而,consequently,be due to,so,regardless of
可疑,questionable,unaccountable,beyond description,illegal
监督,supervise,superfine,supervene,supervise and urge
意味深长,meaningful,wee,profound,considerable
容易,readily,easily,deadly,heavily
氢,hydrogen,maestro,rowdy,scholarly
手表,wristwatch,stopwatch,barometer,alarm bell
传播,disseminate,hereditary,tradition,rumor
伦理学,ethics,thick,this,ethnic
付得起,afford,affirm,effort,accord
邻接,abut,cut,but,gout
非人类的,nonhuman,wold,robber,instil
（蟹或龟的）甲壳,carapace,diversion,crock,mainstay
干草,hay,hot,half,hut
支配,dominant,ruminant,dominate,dominance
沉淀物,precipitate,as a whole,mixture,historical relic
