#word,meaning,option1,option2,option3
rekindle,重新点燃,春天,集会场所,社团
bile,愤怒,发怒,赌气,忧郁
gnome,地下宝藏的守护神,士兵,不相似的,西方(部)的
preventive,预防,消防,避免,躲避
deter,威慑,强制,引入,动手动脚
roil,煽动,逼债,愚弄,强迫
infelicitous,不幸,好运,避坑落井,节外生枝
manifesto,宣言,广告,汇报,海报
concord,和睦,不即不离,不和,单一
contact,互通信息,筑墙围住,毛线,呆笨
needlework,缝纫,存取,绷,缝补
detonate,(使)爆炸,取暖,炸,加热
courtesy,礼貌,礼节,开幕式,习惯
intoxicate,陶醉,逼上梁山,着迷,一心一意
categorical,无条件的,那么,还,难怪
effeminate,缺乏勇气,壁垒森严,顶天立地,不在话下
lactic,乳汁,生长激素,激素,胆汁
vertigo,眩晕,发烧,伤风,窒息
actuarial,(保险)精算的,(功)课,负担,闹着玩地
cross,生气,忧郁,赌气,暴跳如雷
gullible,易受骗的,许多人或物,烟灰缸,乐意
unadulterated,没有搀杂,反对,阶梯,试验
eulogize,称赞,拍案叫绝,触犯,讽刺
detoxify,解毒,舍弃,打消,横扫
hatch,船舱盖,为什么,抄袭,斯文
transcend,超越,限于,制裁,便利
scads,大量,索然,严格,傲视
disinclined,不愿,悔改,愿意,自愿
pastoral,田园生活,低级,驾驶,闪电般的
infamous,邪恶,善良,人道,毒辣
aspirant,有抱负者,赌博,气)流,频道
phonetic,语音,嗓,音节,叫声
subliminal,潜意识的,阴影,狂热,喜爱
fulmination,抨击,公认,干预,狡赖
die,金属模子,矮树,供给,咖啡色
felicitate,庆贺,拜寿,庆祝,恭贺新禧
misinform,向...提供错误信息,完满,监狱(禁),听力
caveat,警告,警钟,调教,转播
swerve,突然改变方向,追踪,教堂,平放
quail,畏惧,惊恐,懂事,顿悟
bombast,高调,家常,私语,白话
overdue,过期未付,即刻,丘陵(地带),灌木丛
evocative,唤起,吸引,引人注意,造成
conquest,征服,丢掉,败阵,沦陷
amicable,友好,严密,单一,冰炭不相容
despotism,专制,宽限,开展,跋扈
rationality,合理性,笔误,不合理,是的
piquancy,辛辣,板滞,势如破竹,可观
guillotine,断头台,舞台,坛,祭坛
fluctuation,波动,败落,安生,太平
cement,胶粘剂,按照...执行,占据,辩论
fortitude,坚毅,卑怯,不屈,脆弱
salient,显著,不法,可行,隐约
probation,试用(期),实验,期考,笔试
peripatetic,巡游,猜谜儿,探险,打牌
deportment,(尤指少女的)风度,动作,表现,暴行
swamp,使陷入,潜在价值,计量器,乱弄
oar,划(船),搁板,杂志,工业(上)的
mishap,不幸,避坑落井,暴发,胜利
produce,产品,名产,期货,复制品
eurhythmic,匀称,千丝万缕,对称性,麻烦
aspersion,诽谤,丑化,笑话,笔战
incorporate,合并,崩溃,三位一体,团结
deed,(土地或建筑物的)转让契约、证书,也许,场地,以前
sedate,镇静,从容不迫,发誓,不过意
affectation,做作,屏息,翘,伪装
