#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
再点火,rekindle,chamber,blink,frigid
免除,relieved,brush,quench,to sweep away
制止,deter,meter,peter,never
不均衡地,unevenly,cessation,glory,hurtle
使接触,contact,contest,connect,contract
被发现的东西,trove,supersede,toothless,hearten
变动,shifting,multipolarity,to legalize,make more youthful
群,bunch,punch,bounce,lunch
孵化,hatch,botch,latch,path
超出,transcend,transient,following,inferior to
呼吸,breath,breach,berth,wrath
铺设,pave,pare,aye,date
加速度,acceleration,vigor,sensitivity,intensity
鹌鹑,quail,tail,hail,quake
贪婪,greedy,greed,breezy,breed
柱,post,posh,foist,pint
观念,conception,connection,concession,inception
逾期,overdue,overdo,oversee,overture
堵塞,congested,impel,impose by force,limit to
（语音）音节,syllable,syllabus,salable,widower
波动,fluctuation,becoming more prosperous with each passing day,literal: to like the new, and hate the old,peace
湿度,moisture,mixture,jointure,posture
显著,salient,silent,saline,alien
沼泽,swamp,scamp,same,soap
提升,advancement,pleased with oneself,depose,unemployment
百科全书,encyclopedia,drill book,dictionary,new book
生产,produce,product,producer,reproduce
药物,remedy,ready,seedy,greedy
生态系统,ecosystem,ski,icebreaker,deficit
移民,migrant,migraine,migrate,emigrant
脸红,blush,bosh,bush,blur
铝,aluminum,bronze,silver,copper-nickel alloy
污秽,foul,foal,food,mould
煤油,kerosene,oil,alcohol,tar
因此,therefore,wherefore,otherwise,furthermore
神话,myth,math,moth,match
酶,enzyme,homicide,misquote,sparkle
营养不良,malnutrition,homeless,soapy,security
片,slip,skid,slut,shop
（水果）汁,juice,juicy,voice,quite
隐喻,metaphor,address as,analogy,so-called
使平衡,counterbalance,percolator,gust,college
冰箱,refrigerator,power plant,knowledge base,pillbox
脚注,footnote,note,introductory remarks,scripture
付薪水的支票,paycheck,enthral,contribute,trill
畅通无阻,unobstructed,block up and intercept,traffic jam,adhere
停滞,stagnant,stagnate,up to,extinguish
腰,waist,await,list,exist
智力,intellect,interject,intersect,ability and wisdom
蜻蜓,dragonfly,insect,earthworm,cockroach
雕刻品,carving,to make a definite diagnosis,medical treatment,line drawing in traditional ink and brush style
装饰,decorative,make,counterfeit,fix
氧气,oxygen,carbon dioxide,gas ,heat
炼钢转炉,converter,titan,tabulate,spotless
斥责,rebuke,rebut,resume,rebuff
有礼貌地,courteously,uncalled-for,acquaintance,desperately serious
沉思,speculate,peculate,moving,thanksgiving
经历,undergo,underdog,under,go on holiday
节省,thrifty,thrift,shifty,throaty
知识分子,intellectual,author,monster,artist
三部剧,trilogy,verse,lengthy ,composition
悬崖峭壁,cliff,clip,clink,bluff
穿衣,costume,posture,contuse,consume
超音速的,ultrasonic,perforate,linger,mercy
黄油,butter,better,bitter,letter
废除,abolish,polish,foolish,to draw into
激怒,provoke,provide,revoke,propose
骇人听闻,shocking,pitiful,moving,to be rich in
用带缚住,strap,stab,syrup,straw
盲信,fanatic,frantic,fantastic,lunatic
明白,phenomenally,to remember,concerned,mourning
人员,personnel,personal,labor force,personal
公然,overt,over,covert,avert
工艺,craft,draft,crap,waft
陪伴,consort,comfort,censor,conform
稀少,sparse,spree,spare,coarse
志愿,voluntary,is able,repentance,possible
防卫,defense,defence,detente,defensive
释放,emancipation,seize,reexamine ,summon for interrogation
政府公报,gazette,palette,gazetteer,gazelle
从而,consequently,due to,instance,if that's the case, then 
可疑,questionable,dispel the clouds and see the sun - restore justice,neither fish nor fowl,publically
监督,supervise,superfine,supervene,roll call
意味深长,meaningful,tender,slight,sharp
容易,readily,ready,deadly,easily
氢,hydrogen,waistcoat,agreeable,box
手表,wristwatch,stopwatch,watch glass,barometer
传播,disseminate,transmission,rumor,legend
道德规范,ethics,ethical,ethnic,thick
付得起,afford,fiord,ford,accord
邻接,abut,about,abet,but
非人类的,nonhuman,blood,drowse,stress
（蟹或龟的）甲壳,carapace,pallor,chestnut,spar
干草,hay,racy,war,nay
支配,dominant,ruminant,dominance,dominate
促成,precipitate,attractive,doable,to hasten
螺丝钻,auger,baize,medal,bassinet
不协调的,incongruous,corruption,hill,partiality
海藻,algae,black henbane,poisonous weeds,field mint
硕果累累,fruitfulness,to touch,school opens,preliminary
证实,confirm,confer,conform,confide
寓言,fable,gable,sable,table
蜂鸣器,buzzer,bumper,buffer,butter
熔岩,lava,lazy,late,larva
经济,economical,economics,economic,kill two birds with one stone
全体人员或职员,staff,stiff,stand,safe
潮湿,damp,stamp,lump,jump
全盛期,heyday,whatever,astonish,dumpy
安宁,well-being,ungrateful,infest,peace
强壮,muscular,vascular,old,young
诱使,tempt,teat,tempo,attempt
给…提供住所,house,mouse,huge,choose
一种美洲鸟,cardinal,cardiac,carnival,ordinal
一丝不苟,meticulous,serious,intermittently,duration
不规则地,irregularly,colonel,shortwave,exclusive
行李,baggage,barrage,luggage,bandage
玉米,maize,mire,maybe,gaze
钻孔,bore,pose,ware,barge
音高,pitch,punch,with,patch
安全,security,exultation,happy,weather-beaten
(指印刷或字迹)清楚地,legible,flexible,eligible,edible
（砖、石灰等）窑,kiln,lion,pill,in
释放,liberate,deliberate,hibernate,literate
可自由选择的,optional,optical,rational,national
无限制的,unrestrained,controller,gloat,array
苛刻,stern,story,steel,steal
极光,aurora,lighting,laser,a figure viewed from behind
宇宙,cosmic,comic,colic,commit
背包,backpack,ice bag,purse,scabbard
评论,remark,reward,remand,rear
混乱,chaos,chain,chafe,chamois
公鸡,rooster,roster,monster,poster
滋养,nourish,tourism,flourish,tourist
柔软,ductile,tactile,futile,docile
阻塞,obstruction,traffic jam,ventilate,seepage
使吃惊,amaze,laze,raze,agate
不停,incessant,on time,in a row,from the beginning of ... up to ...
两院制的,bicameral,dab,locality,mascot
晋级,promote,promotor,prompt,provoke
连合,couple,topple,joule,complex
混合,conglomerate,intersect,to spread,transport
不锈,rustproof,scraggy,margarine,marquee
折叠,fold,wood,golf,cod
障碍,clog,clue,log,cog
不一致,incongruity,inlet,cloudy,fancy
任命,nominate,dominate,nominee,ruminate
朴素,simplicity,complicity,implicit,lazy
不透明的,opaque,pique,plaque,staff
静止,dormant,torment,mordant,format
蔬菜,vegetable,vegetate,venerable,oat
能干,efficient,efficiency,deficient,sufficient
运气,fortune,forte,fortunate,torture
可折叠的,folding,uncouple,wreathe,situation
（使）停止,halt,hoot,harlot,balk
缺乏,deficient,efficient,deficit,deficiency
迟到,tardiness,beginning,in the depth of night,short distance
牛仔,cowboy,tomboy,convoy,martyr
人性,humanity,humanism,humility,humanize
分散,disperse,disease,dispense,dispose
着地,touchdown,to devaluate,ebb,sundown
垫子,cushion,fashion,cession,fusion
生长速度超过…,outgrow,outgrowth,outcrop,outgo
游行,parade,pirate,pervade,palace
有脊骨的,spined,some,mania,authority
逃脱,escape,shape,scare,encase
焊接,solder,soldier,wonder,salver
发光,radiation,variation,graduation,tradition
断裂,rupture,nurture,rapture,future
沮丧,depressed,plot,to map out,greatly disappointed
