#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
胆汁,bile,balk,wire,oily
格言,gnome,complement,predicative,amino-group
预防,preventive,retentive,prevention,harmless
威慑,deter,peter,meter,defer
煽动,roil,to play,press for payment of debts,force
不幸,infelicitous,out of the frying pan into the fire,break out,dilemma
宣言,manifesto,manifest,to advertise,post
公约,concord,contort,consort,concoct
互通信息,contact,constant,intact,context
缝纫,needlework,to have a taut face,mend,access
(使)爆炸,detonate,detente,decorate,desolate
礼貌,courtesy,countess,courtly,funeral
陶醉,intoxicate,intoxicant,intricate,be attached to one's native land and unwilling to leave it
无条件的,categorical,that kind,still,might as well
缺乏勇气,effeminate,secure,powerful,coarse
乳汁,lactic,arctic,galactic,plastic
眩晕,vertigo,vestige,have a high temperature,seasick
(保险)精算的,actuarial,forebode,repression,blacken
生气,cross,moss,truss,dross
易受骗的,gullible,cleaner,perceptive,investment
没有搀杂,unadulterated,urgency,stature,person
称赞,eulogize,to break the rules,against ones will or feelings,withstand
解毒,detoxify,quench,discard,to conquer
孵化,hatch,batch,watch,latch
超越,transcend,transient,convenient for,to decide
大量,scads,using strong words,politely, solicitously,vehement
不愿,disinclined,willingness,can,shut oneself up and ponder over one's mistakes
宁静,pastoral,smooth and steady,maintain one's composure,treat somebody fairly
邪恶,infamous,famous,kind-hearted,what
有抱负者,aspirant,aspirin,tool,hew
语音,phonetic,poetic,phonetics,ding-dong
潜意识的,subliminal,who,penniless,mirror
抨击,fulmination,publicly known,retort,overthrow
金属模子,die,dial,hie,wine
庆贺,felicitate,deal with,Happy New Year,congratulate an elderly person on his birthday
向...提供错误信息,misinform,suffrage,perturb,poison
警告,caveat,alarm bell,broadcast ,to attack
突然改变方向,swerve,serve,verve,twelve
畏惧,quail,quip,quart,sail
高调,bombast,murmur,cap,vernacular
过期未付,overdue,overture,overawe,overdo
唤起,evocative,deadly,to cause,infect
征服,conquest,contest,inquest,conquer
友好,amicable,amiable,admirable,single
专制,despotism,white,foolhardy,justice
合理性,rationality,collapse of itself,eternal,a slip of a pen
辛辣,piquancy,incisive,profound,pitiless
断头台,guillotine,battery,platform,railway platform
波动,fluctuation,depression,peace,not throw the troops into battle
胶粘剂,cement,semen,comment,lament
坚毅,fortitude,certitude,decisive,stupid
显著,salient,valiant,splint,patient
试用(期),probation,promotion,privation,rotation
巡游,peripatetic,to play mahjong or cards,to explore,diversion
(尤指少女的)风度,deportment,department,action,behavior
沼泽,swamp,stamp,warp,scamp
桨,oar,cad,nark,year
不幸,mishap,bishop,mislay,reciprocal
产品,produce,producer,product,traduce
匀称,eurhythmic,many,minute,penetrated
诽谤,aspersion,ascension,aversion,assertion
合并,incorporate,leave one's native place ,trinity,unmarried
行为,deed,seed,due,need
镇静,sedate,senate,slate,sedan
做作,affectation,hold one's breath,pretend,outstanding
陡升,sky-rocket,to expand,to spread,to cut over
二重唱,duet,dirt,doubt,gust
生态系统,ecosystem,semester,temporize,stoker
移民,migrant,vibrant,emigrant,migraine
因某事物脸红,blush,lush,slosh,busy
谷类,cereal,vernal,repeal,carnal
写错地址,misdirect,indirect,herpes,evince
废料,effluvia,bean dregs,mineral resources,cultural relic
弄脏,foul,ford,fond,fog
偷窃,pilfer,pillar,killer,differ
将(刀,sheathe,sheath,swathe,heath
裁判员,referee,refugee,refer,reverie
罗嗦,prolixity,sardonic,set,multimedia
诡计,chicanery,stratagem,Five-Year Plan,venomous scheme
狡猾,sly,say,sun,lay
酵素,enzyme,elicit,curvature,visible
营养不良,malnutrition,detach,inference,sleep
变魔术,conjure,conjurer,confute,injure
引起大笑,hilarious,vicarious,regain,sector
隐喻,metaphor,treat as,metaphor,so-called
不适当的,unseemly,seemly,to fit well ,using a talented person in an insignificant position
起平衡作用,counterbalance,moratorium,dayroom,expire
耳的,auricular,unfaithful,frontal,misdeed
莠草,tare,straw,azalea,underbrush
一次性使用的,disposable,raw,dropout,alkali
没有障碍,unobstructed,pathname,unit,alone
把...弄乱,dislocate,dissociate,choke,carve
停滞,stagnant,stagnate,market close,dismount a horse
不悔悟的,unrepentant,sustenance,lengthy,jeopardize
切口,incision,infusion,invasion,envision
智力,intellect,interject,intersect,innate skill
有远见的,visionary,missionary,palette,appendage
装饰性的,decorative,hobbyhorse,consonant,wad
