#word,meaning,option1,option2,option3
underestimate,低估,估计,渴望,推测
respectable,人格高尚,解释,(英)饼干,包围
courtesy,请安,你好,拜年,写信
cross,易怒,供应,相应,留下
hatch,短门,我们自己,邮筒,十六
conception,想法,绞尽脑汁,考虑,考虑
fluctuation,波动,安宁,按兵不动,吵闹
cement,粘结,互通,通航,鼎立
oar,划(行),配备,过失,钟形物
rate,对…评定,开采,正当,婚礼
incorporate,收编,调集,编组,编遣
peacock,孔雀,杜鹃,鹦鹉,八哥儿
hum,嗡嗡声,奶油,毯子(可数),蓝色
blush,脸红,不好意思,暗送秋波,吞声
cereal,禾谷,麦子,菌类,孢子
foul,丑恶,各国,罪恶,残酷
composer,调停人,审判长,目击者,保证人
referee,(足球等)裁判员,普遍,心甘情愿,食堂
beware,谨防,摧残,无害,不利
intellect,才智,才能,天才,先见之明
decorative,装饰,酿造,克隆,组装
shoulder,肩负,自负,辞职,包产到户
rebuke,斥责,批评,引咎,遮掩
mountainous,多山,斑点,负担,搁
speculate,投机,不合,相配,不切实际
thrifty,节俭,勤勉,草草,奢侈
head,用头顶(球),拍,教科书,竞争
ultrasonic,超声波,波峰,波谷,气泡
abolish,废除,放弃,舍命,连锁反应
provoke,激发,堵塞,拔苗助长,妨碍
personnel,人事部门,集团,新闻处,同盟
bandit,歹徒,霸王,恶人,圣人
craft,技巧,绝技,才略,哲
questionable,可疑,神奇,好奇,明显
supervise,监督,监视,督促,备查
dominant,统治,南面,独霸,发牢骚
plastic,塑性,权威性,阴性,技术性
concern,所关切的事,阴云,分离,成叉状
accord,调和,说服,屈服,驯服
sardine,沙丁鱼,金鱼,鲎,海龟
mob,聚众闹事,下流,一排房屋,庭院
muscular,肌肉发达,衰弱,雌雄,瘫软
peril,危机,纠纷,财经,行政
tempt,劝诱,安抚,劝导,归咎
house,议院,常委会,政协,领事馆
opium,麻醉剂,药膏,药丸,制剂
bore,麻烦事,家务,机密,奇事
pitch,人造树脂,重大,领受,都不
stern,臀部,腰部,胸部,肚皮
cosmic,广大无边,心灵,高尚,水果(通常不可数
disorder,疾病,合影,暴病,肖像
