#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
分支,ramification,common ,fellow citizen or countryman,individual
吓住,deter,ewer,otter,meter
接触,contact,contrast,convict,intact
礼貌,courtesy,countess,courtly,opening ceremony
一串,bunch,lunch,hutch,punch
特技演员,stuntman,elective,hip,proverb
易受骗的,gullible,mundane,bifocals,implant
孵,hatch,match,patch,batch
超越,transcend,transient,rule,inexpensive
劫持,hijack,jack,hack,to break the law
语言上的,phonetic,poetic,phonetics,interrogative sentence
铺,pave,wave,Yale,ware
潜意识的,subliminal,disastrous,him,foremost
青少年,adolescence,paternal grandfather,maternal grandmother,minor
转向,swerve,serve,starve,weave
渴望,greedy,freely,greet,greasy
构想,conception,connection,confection,inception
(债款)到期还未付,overdue,overawe,overrun,overrule
攻取,conquest,conquer,contest,inquest
挤塞,congested,pint,coastline,surfboard
维持,upkeep,peep,keep,including
音节,syllable,syllabus,salable,voice
水泥,cement,resent,emend,foment
试用(期),probation,promotion,rotation,peroration
沼泽,swamp,swap,snap,stamp
划(行),oar,one,fear,mar
不幸,mishap,bishop,mislay,without a hitch
百科全书,encyclopedia,a rubbing from a stone inscription,dictionary,pamphlet
治疗,remedy,seedy,comedy,emery
合并,incorporate,"Unity of will is an impregnable stronghold" ,trinity,unmarried
嗡嗡声,hum,hem,mum,hag
生态系统,ecosystem,murderer,kg,principle
移民,migrant,migraine,emigrant,vagrant
脸红,blush,lush,blah,slush
谷物,cereal,reveal,repeal,corral
丑恶,foul,four,fowl,wool
消散,melt,geld,mint,moult
煤油,kerosene,gas,tar,alcohol
裁判,referee,refer,revere,reverie
神话,myth,mesh,math,mute
酵素,enzyme,receptacle,banjo,penny
营养不良,malnutrition,dolt,outwit,veracious
失误,slip,flop,stir,lip
充满欢乐,hilarious,vicarious,around,cunning
接近,oncoming,to resemble,for example,just like
隐喻,metaphor,walk rather than ride,so-called,to be
使平衡,counterbalance,protein,rompers,necessary
冰箱,refrigerator,arc,horde,filthy
战略(上)的,strategic,strategy,strategist,medieval
十年,decade,defame,deride,decode
可任意使用的,disposable,appertain,anxiety,orderly
喧闹的酒会,carousel,conveyance,talk,sliding
不流动的,stagnant,stagnate,up to,cease fire
切口,incision,incursion,infusion,incisive
理智,intellect,interject,intersect,behavior
无钱还债,insolvent,namely,nectar,flummox
尼龙,nylon,pylon,melon,noon
瘤,tumour,humour,rumour,armour
相反,conversely,wherever,how ,too
