#word,meaning,option1,option2,option3
低估,underestimate,assumption,guess a riddle,unexpectedly
可敬,respectable,to convince,admire,self pride
谦恭,courtesy,countess,courtly,dull
杂交,cross,cress,gross,tress
短门,hatch,batch,hutch,thatch
观念,conception,inception,confection,convection
波动,fluctuation,pitiless,full of tenderness or affection,not throw the troops into battle
粘结,cement,moment,cogent,lament
桨,oar,oak,boar,gas
价格,rate,irate,ace,ripe
合并,incorporate,split up,for a long time,cooperate
孔雀,peacock,parrot,myna,partridge
嗡嗡声,hum,rum,hem,whim
脸红,blush,flush,slosh,lush
五谷,cereal,serial,aerial,cream
肮脏,foul,fowl,goal,sour
调停人,composer,composure,compose,computer
(足球等)裁判员,referee,refer,reference,reverse
谨防,beware,blare,bear,berate
智力,intellect,interject,intersect,gifted
装饰,decorative,brew,counterfeit,assemble and install
挑起,shoulder,moulder,boulder,holder
非难,rebuke,rebut,revoke,rebuff
山一般的,mountainous,condition,percussion,surf
思索,speculate,peculate,appreciate,thanksgiving
节俭,thrifty,throaty,thrift,shifty
出发,head,heed,end,knead
超声波,ultrasonic,microwave,trough,great waves
废除,abolish,polish,foolish,to risk one's life
对…挑衅,provoke,provide,propose,promote
人事部门,personnel,personal,research institute,personnel office
盗匪,bandit,bait,pundit,candid
技巧,craft,draft,crate,raft
可疑,questionable,classified ,in private,inconceivable
监督,supervise,superfine,supervene,to go around and inspect
主因,dominant,dominance,ruminant,dominate
塑料,plastic,elastic,drastic,plaster
商行,concern,conceal,convert,condemn
协议,accord,accost,record,actor
沙丁鱼,sardine,marine,saline,shrine
聚众闹事,mob,mot,log,rob
肌肉发达,muscular,vascular,weak,young
危机,peril,perch,per,pupil
诱惑,tempt,temple,tempo,emit
议院,house,lose,louse,husk
鸦片,opium,arsenic trioxide,hemp,poison
麻烦事,bore,more,sore,snore
人造树脂,pitch,bitch,pinch,pick
臀部,stern,skein,stet,stir
宇宙,cosmic,comic,cosmos,commit
疾病,disorder,disorderly,half-length photo or portrait,joint photo
类似物,analogue,analogize,catalogue,analogy
公鸡,rooster,roster,holster,mobster
提供养分,nourish,tourist,tourism,flourish
厩,stall,stalk,small,stay
大大,widely,girl,old people,uncle
低沉连续的声音,murmur,murder,sort,sacred
蹒跚,limp,him,lime,lilt
任命,nominate,ruminate,dominate,nominee
单纯,simplicity,complicity,implicit,solely
不透明的,opaque,pique,plaque,muse
鼓起(勇气),pluck,lick,puck,luck
轻敲击声,rap,may,gap,cape
氧化物,oxide,ride,elide,chide
灵敏度,response,responsive,respond,repose
签证,visa,vine,via,piss
兵力,strength,strengthen,military force,manpower
欠缺,deficient,deficit,efficient,deficiency
人类,humanity,inhumanity,humility,humanize
驱散,disperse,dispense,diverse,disease
压倒,overwhelming,such as,generally speaking,excel
夸耀(才能等),parade,trade,paradise,partake
榨取,extract,extra,detract,retract
背离,deviation,dedication,devotion,aviation
(湖)底,bed,sea,sled,send
飞行,aviation,navigation,avocation,radiation
(创造力)丰富的,fertile,fertilize,febrile,reptile
俚语,slang,sling,fling,clang
鼓起(勇气),summon,summons,summat,summer
无限,unlimited,suffering,to accept,many
探险队,expedition,exposition,random,frisbee
向北方,northward,southward,vagary,cast
论坛,forum,ford,for,form
假装,sham,scamp,whom,charm
打折扣卖,discount,dismount,chaperon,idleness
歹徒,gangster,canister,demon,reader
迷信,superstition,to support,be convinced,confidence
会见,interview,accompany,to welcome,to endorse
软弱,softness,not unwise,to loiter,firm
优等,choice,chick,chic,chore
习惯法,usage,sane,wage,sage
(古人的)名言,wisdom,window,widow,adverbial adjunct
利用太阳光的,solar,soar,polar,sober
新颖,novelty,novel,poverty,lovely
刺,sting,stringy,string,ring
崩溃,breakdown,success,to close down,fall through and stand exposed
一贯,uniformly,irrational,may,steady
可疑,shady,shake,shaky,soapy
缺席,default,fault,attend,to quit school
死亡,perish,persist,parish,garish
停止,terminate,terminal,germinate,termite
超越,surpass,surplus,be good for,insuperable
喂草,graze,gaze,game,grant
瘢痕,scar,scarf,sear,seat
驴,ass,pass,lass,mass
准则,criterion,regulations,rules,banquet
无限,infinitely,smallest,suffering,adopt
幻想,illusion,delusion,allusion,infusion
审慎,deliberate,delineate,liberate,sensitive
嘶嘶作声,hiss,piss,hash,his
降落伞,parachute,umbrella,fan,parachute
棱镜,prism,parish,pride,price
归纳推理,induction,infection,conduction,injunction
小心,cautious,captious,curious,caution
保险丝,fuse,cure,just,rush
政见,politics,politick,politic,political
事业心,enterprise,pensive,center,privacy
使(齿轮等)啮合,engage,enrage,engaged,encase
放大,magnify,dignify,signify,to adapt
轴,axis,anus,alms,amiss
使膨胀,swell,well,steal,swill
立法,legislation,to set up a separate kitchen,appoint,choose a site for the capital
序列,sequence,sentence,troposphere,delegation
边界,verge,merge,hedge,verb
相似,resemblance,similar to,as,contrary
压倒,overwhelm,be lower than,such as,too old
变少,lessen,lessee,lesson,vessel
从…中溢出,overflow,platitude,punch,mention
沉默,hush,gash,wish,gush
社会学,sociology,linguistics,economics ,astronomy
抽象,abstract,obstruct,attract,distract
服从,obedience,obedient,child welfare,to disobey
概述,outline,outlive,routine,outlying
造币厂,mint,mine,mire,mist
集(合),set,yet,diet,sit
开设,start,stark,shaft,salt
对分,halve,have,value,calve
理论上,ideally,adore,gunner,joule
偷听,overhear,overhead,overseer,overseas
恳求,implore,impose,explore,impure
无学,ignorance,ignorant,incapable,grand talents mature slowly
侵犯,violate,inviolate,dilate,village
离题,excursion,exclusion,incursion,expulsion
壁炉地面,hearth,hearten,heath,heat
追求,quest,queasy,oust,west
地区(性)的,geographical,core,visit,diameter
矮子,dwarf,ware,ward,war
斜坡,inclination,Mt. Wu, on the Changjiang River by the Three Gorges,Ulsan,Mt. Huang 
尊贵,dignity,dignify,indignity,digit
原型,prototype,accomplice,cartridge,repentance
紧凑,coherent,cohere,inherent,incoherent
系,tape,daze,pave,base
法兰绒,flannel,flange,channel,funnel
毗连,adjacent,to infiltrate,congestion,intimate
兽皮,hide,chide,pike,mike
毕业文凭,diploma,diplomacy,undo,duple
君主,monarch,march,monarchy,stockholder
大猩猩,gorilla,grille,grill,corolla
常去,haunt,aunt,hunt,stunt
凝视,peer,peek,pelt,lee
对射,correlation,jihad,keratin,niche
破坏(性)的,destructive,unfavorable,impassable,harmless
(液)体,body,woody,boat,bonny
对称,symmetrical,compatible,impracticable,right
电容器,capacitor,capacity,diode,television 
迷住,fascinate,habit,to be infatuated with,amazement
协调,collaborate,to be full of,narrow,symmetry
给…种牛痘,vaccinate,worldwide,pedantic,bellboy
女衬衫,blouse,house,blush,blonde
分馏的部分,fraction,traction,faction,friction
题词,heading,newspapers and periodicals,magazine,"Times" 
利用,utilization,to discriminate,to embezzle,differentiate
榨取,squeeze,sneeze,blackmail,hoard
学问,scholarship,multinomial,logarithm,square 
水的,watery,water,cater,lately
(禽鸟的)栖木,perch,torch,peach,pinch
逗乐,tease,cease,team,lease
老于世故,sophisticated,myopia,ignorant,be content with  superficial understanding
盛会,banquet,barque,parquet,bouquet
燃烧,blaze,blazer,blank,bloke
查定,assessment,conjugal,spill,baton
强大,mighty,might,lightly,almighty
努力,endeavor,by hook or by crook,jolly,haven't
背面,reverse,revenge,verse,revenue
形成对比,contrast,contralto,contract,contrary
其次,subsequently,emphasis,it doesn't matter,not to matter
花岗岩,granite,grant,grannie,granule
有利,advantageous,to exceed,impassable,to determine
香客,pilgrim,Buddhist monk,nun,master
信服,conviction,confection,convection,convention
裂痕,fracture,feature,rapture,grudge
考虑,ponder,powder,yonder,wander
低声地讲,whisper,whisker,whimper,wiper
苔藓,moss,fuss,boss,mop
干涉,intervene,intercede,interfere,publicly known
钦佩,admiration,aspiration,adoration,to show respect 
反应器,reactor,rector,actor,sector
故事,narration,variation,narrator,carnation
使(马等)缓步行进,jog,jot,mot,boy
傲慢,haughty,naught,naughty,draughty
有罪,guilt,gullet,gill,quiet
赋予,endow,tendon,widow,window
业余,amateur,more or less open,public,particularly
