#word,meaning,option1,option2,option3
熟人,contact,conduct,compact,connect
横跨,cross,dross,dress,croon
金,gold,goad,gild,good
气息,breath,breadth,breathe,sheath
死,die,pied,size,dine
勇敢的人,brave,wave,blade,grove
宣布,post,pet,cost,lot
货币,money,mote,monkey,none
挚友,brother,brothel,bother,another
巢穴,hole,wold,pole,come
呵责,rate,same,gage,age
产品,produce,product,producer,reduce
洪亮,big,wig,him,dig
因此,therefore,wherefore,cannot bear,from this, it can be seen that...
爆炸,burst,gust,bust,just
钉...的梢,shadow,show,shallow,shade
炮,gun,nut,ton,gay
用船装运,boat,boot,brat,bow
肩部,shoulder,moulder,holder,boulder
新的,new,bow,newt,pew
上端,head,beak,pear,hew
时机,moment,mount,foment,comment
笑意,laughter,daughter,slaughter,lighter
个人,personal,personnel,seasonal,impersonal
迅速,readily,steadily,reality,easily
进,into,onto,to,pint
买得起,afford,effort,accord,ford
月,month,loath,moth,tenth
你的,yours,your,ours,sour
烦扰,harry,hard,chary,vary
关心,concern,condemn,conceal,concede
相符合,accord,accost,chord,afford
工作班子,staff,stand,stank,safe
乐意,happy,nappy,hazy,poppy
棚,house,tousle,hose,horse
路,road,soar,coat,nod
情夫,lover,live,over,hover
挤出,bore,bolt,bar,yore
正午,noon,noun,horn,fool
到原处,again,gain,train,await
注意,remark,rear,remand,retard
流,stream,treat,steam,tread
无益,useless,unless,ageless,doable
交易,business,foreign trade,volume of trade ,to circulate
一对,couple,uncouple,tousle,compile
小声说,murmur,murder,byelaw,impair
给...上涂料,size,hie,site,sue
安琪儿,angel,danger,cancel,anew
掏,pick,tick,prick,click
仁慈,kindly,kindle,finely,spindly
富有,fortune,forte,torture,fortunate
准许,license,licence,incense,visa
力,strength,strengthen,roster,express
一,a,my,fan,ail
人类,humanity,humanism,humanize,inhumanity
逃路,escape,scale,scrape,encase
卧室,bed,nod,dud,god
压制,silence,silencer,silent,licence
做加法,add,ward,mid,raid
条理,method,metro,meteor,meaning
大量,store,snore,stare,shore
记忆,memory,emery,memoir,memo
旅行,expedition,exposition,expedition,trudge
天,sky,day,icy,joy
惭愧,ashamed,shame,not let somebody down,be sorry
除...,than,thorn,thing,thin
上等,choice,chick,chide,chime
信念,belief,relief,believe,belie
更其,all,ill,mail,ball
狂暴,angry,aggro,anger,airy
反对票,no,ion,lop,a
知识,wisdom,window,widow,what one sees and hears
向前,ahead,head,dread,cheat
逆,against,again,appease,mayoralty
纪,period,person,prior,perish
分,distribute,disparage,also,appal
紧急,instant,instinct,insurant,intact
被普遍接受的,received,receiver,deceive,receive
态度,manner,canker,banker,dinner
对各个,each,lath,ear,wash
慢慢,slow,blow,know,sow
在...期间的某一时候,during,dung,urine,turning
斜坡,hill,chill,hell,girl
一次,once,face,dunce,tone
远的,distant,dissent,distaste,distort
笑,laugh,plough,tough,cough
兵营,camp,cart,damp,clump
但是,but,jut,buoy,butt
规定,provide,proviso,prove,preside
下令,appoint,point,disclose,general mobilization 
到国外,abroad,aboard,broad,byroad
化脓,matter,after,batter,rafter
懒散度日,moon,soon,zoom,mob
帮助,help,half,pulp,rely
做,perform,perforce,reform,deform
回火,temper,member,beeper,reaper
在两方面同样地,both,bowl,booth,botch
形状,shape,shake,nape,soapy
奇物,curiosity,spirituous,shoplifter,immodest
她亲自,herself,ourself,himself,indicator
坦白,confess,contest,confer,congress
阻塞,stop,swop,stud,stir
