#word,meaning,option1,option2,option3
使接触,contact,context,concoct,content
串,bunch,bung,bench,hunch
孵出,hatch,match,watch,patch
评论,criticize,criticism,roll call,to identify
铺,pave,puke,pare,love
在室内,indoors,indoor,mote,soft
加速,acceleration,delay,with a wavy motion ,to shift to an earlier date
贪吃,greedy,breezy,weedy,greed
邮件,post,pat,boast,pest
攻取,conquest,conquer,contest,inquest
胶泥,cement,memento,ferment,clement
潮湿,moisture,mixture,posture,jointure
部分,partly,respective,dual,exuberant
沼泽,swamp,damp,sweep,champ
比率,rate,crate,hate,trace
治疗,remedy,ready,recede,needy
契约,deed,deem,deep,lead
十四,fourteen,fourteenth,listless,event
融化,melt,mart,elk,bet
爆炸,burst,curt,but,gust
影子,shadow,shade,show,meadow
狡猾,sly,sell,slim,slot
溜,slip,slit,chip,slap
汁,juice,ounce,sluice,juicy
草席,mat,mar,math,meat
澳大利亚,Australia,Zaire,Peru,Puerto Rico
冰箱,refrigerator,city gate tower,military camp,garage
十年,decade,dead,decay,decide
偷看,peep,beer,deep,peal
腰,waist,last,wrist,vast
病,illness,idleness,stillness,internal  injury 
挑起,shoulder,shudder,solder,moulder
尼龙,nylon,felon,pylon,salon
相反,conversely,wherefore,this,after all
总统,president,resident,provident,precedent
种族,racial,axial,rascal,social
忍受,undergo,underdog,under,maximum
知识分子,intellectual,artist,author,master
悬崖,cliff,life,jiff,chief
讨厌的东西,nuisance,guidance,upright,trilateral
奶油,butter,better,bitter,utter
笑,laughter,daughter,slaughter,lighter
捆扎,strap,snap,star,tramp
颌,jaw,dew,law,ah
最大,maximum,maxim,minimum,account
全体人员,personnel,personal,horror,undulate
工艺,craft,draft,raft,rat
自愿,voluntary,be out of the question,unwilling,repent
本人,personal,personage,personable,personnel
所以,consequently,is or isn't,furthermore,regardless of
无困难地,readily,reality,steadily,ready
氢,hydrogen,them,colony,accent
担负得起…,afford,fiord,accord,ford
肿瘤,cancer,cinder,cancel,dancer
干草,hay,ply,lay,aye
乘务员,steward,reward,stead,broker
塑料,plastic,elastic,plaster,drastic
庇护者,refuge,refuse,refugee,reduce
关心,concern,confer,concert,concerto
十月,October,eighth month,May,November
冰淇淋,ice-cream,milk,ice cream,coffee
给予,accord,accost,afford,chord
证实,confirm,conform,bonfire,confine
节约,economical,economics,economic,sufficient
幸福,happy,sappy,apply,nappy
希腊人,Greek,Albanian ,Singaporean person,Swede
潮湿,damp,decamp,dank,damn
微小,tiny,king,tidy,sin
信赖,rely,belt,reef,ready
国际象棋,chess,loess,chaos,cheer
理发,haircut,remodel,health care,dress up
吸引,tempt,tempo,text,remit
二轮运货马车,cart,cafe,coat,heart
行李,baggage,barrage,bandage,luggage
看的,visual,vista,fiscal,viral
情侣,lover,laser,hovel,loser
钻,bore,dove,forge,core
投,pitch,poach,ditch,itchy
羊毛制的,woollen,wiring,line,saucepan
安全,security,exultation,quiet and comfortable,busy 
浴衣,robe,code,toe,race
解放,liberate,literate,berate,hibernate
可以任意选择的,optional,option,national,optical
严厉,stern,steak,stereo,ten
地主,landlord,uninvited or unexpected guest,housewife,visitors
混乱,disorder,disorderly,nervous,hygiene
不合适的,unsuitable,unstable,suitable,malodorous
评论,remark,rear,retard,reward
流,stream,streak,scream,steamy
引语,preface,profane,preach,prepare
农民,peasant,pleasant,pheasant,pedant
药材,drug,Chinese medicine,cheese,ointment
广,widely,equilibrium,brief,incisive
使惊奇,amaze,maze,blaze,aware
旅行,journey,journal,mourner,trek
促进,promote,remote,propose,probate
意大利人,Italian,fellow citizen or countryman,foreigner,Mexican
讨论,discuss,discus,disgust,dismiss
折叠,fold,bole,hole,rod
安琪儿,angel,age,anneal,annex
拾,pick,park,luck,beck
朴素,simplicity,complicity,implicit,take to heart
拉下,pluck,luck,puck,flock
植物,vegetable,vegetate,venerable,supply
效率高的,efficient,sufficient,efficiency,deficient
命运,fortune,fortunate,torture,forte
许可,license,licence,incense,visa
作答,response,respond,espouse,responsive
停住,halt,hall,have,dart
力气,strength,strengthen,vision,competitive strength
砖状物,brick,rick,brink,price
正直,upright,bright,aright,fright
靠垫,cushion,fashion,fusion,cession
检阅,parade,parse,garage,pervade
逃跑,escape,shape,scale,estate
港,port,pot,worm,rot
放射,radiation,radiator,gradation,aviation
外国人,foreigner,foreign,British people,Indian 
莴苣,salad,sally,naiad,valid
饿死,starve,stare,stave,star
集装箱,container,contain,cassette,bin
协会,association,chorus,general headquarters,caravan
苦苦,bitterly,love ,anxiety,pornographic
航空,aviation,radiation,deviation,variation
使沉默,silence,silencer,since,violence
掺加,add,nod,lid,aye
肥沃,fertile,febrile,futile,fertilize
广播,broadcast,relay,lesson ,set a camera
产品,manufacture,futures ,semi-finished articles,reproduction
难以预测,doubtful,grovel,mercenary,hideous
密谋,plot,plod,plus,glow
枕头,pillow,bellow,mellow,willow
方法,method,metro,meteor,position
剪,shear,sear,sheaf,cheap
使爆炸,explode,explore,expose,exclude
贮存品,store,stole,stroke,bore
买,purchase,inlay,he,brooch
第二,secondly,second,secondary,tenth
引起,attract,attack,detract,cataract
输出,output,outfit,outlet,outpost
胡说,nonsense,condense,speak frankly and bluntly,to say more than is necessary
记忆,memory,memoir,memo,merry
电报,telegram,telegraph,ordinary mail ,postcard
缓慢地行进,creep,peep,preen,tree
里面,inward,ward,onward,award
惭愧,ashamed,shame,peacefully,be sorry
格外,especially,bear,many,extremely
总结,summarize,submarine,to develop,analogy
不耐烦的,impatient,patient,impotent,act recklessly
全体船员,crew,crow,cram,Jew
指定,specify,specific,special,specie
部分,partial,martial,palatial,portal
接见,interview,to meet with ,accompany,to welcome
超时,overtime,overtake,overcome,overture
欢乐,merry,jerry,marry,mercy
选择,choice,chance,voice,chic
信任,belief,relief,belie,brief
起草,draft,raft,drawl,drift
愤怒,angry,gantry,angle,annoy
惯用法,usage,sale,visage,wage
智慧,wisdom,window,widow,sensitive
可测量的,measurable,monitor,result,stoke
太阳,solar,polar,soap,molar
在某一时候,sometime,sometimes,sojourn,groggy
分发,distribute,recruit,provide,to issue
立即,instant,intent,install,constant
刺,sting,stint,stingy,sing
忠诚,loyal,soya,local,loan
浴缸,tub,hub,tutu,tug
态度,manner,banner,maker,garner
伏特,volt,soft,folk,bout
各,each,ache,fact,detach
削弱,weaken,weapon,deafen,hearken
议会,parliament,a sports competition,seminar,regular meeting
厚运动衫,sweater,swelter,shelter,sweeper
支票,cheque,cheese,clique,cherub
在…期间,during,dugong,dung,ring
成荫,shady,slay,sharp,shade
粘土,clay,fly,clip,char
在远处的,distant,distance,distort,dissent
创伤,scar,scare,scarf,scrap
使文明,civilize,civility,civilian,weigh
纯净,purity,parity,purify,purvey
兵营,camp,amp,cop,cap
理事会,council,codicil,counsel,team
万亿,billion,zillion,pillion,million
艺术家的,artistic,artist,artiste,artistry
提供,provide,proviso,profile,provident
约定,appoint,point,to fulfill,to break a promise
国外,abroad,abrade,broad,aboard
要紧,matter,potter,marker,bitter
项圈,chain,chair,chary,churn
放射性的,radioactive,shower,sappy,smirch
灾难,disaster,distaste,scourge,luck with the opposite sex
游戏的人,player,prayer,layer,payer
圣徒,saint,wait,squint,taint
侄子,nephew,nether,nephew,son-in-law living at wife's parent's house
严厉,severely,advanced,mean,fall behind
放下,lower,cower,power,vowel
梳理,comb,cold,cone,crib
胸腔,chest,cheat,check,chew
洋白菜,cabbage,carnage,garbage,Chinese cabbage
气体,gaseous,nauseous,heat,opto-electrical
紧急,urgent,orient,cogent,pungent
政纲,politics,politick,political,politic
对付,cope,cube,ape,dope
联合,unite,each other,separate,alone
聘用,engage,encase,enrage,engaged
履行,perform,deform,reform,performer
检查,examine,ermine,famine,example
心情,temper,teller,tempt,timer
棕褐色,tan,wan,swan,damn
近似,approximately,as,act in a way that defeats one's purpose,to resemble
形成,shape,safe,shake,skate
轴,axis,exist,arid,aid
隆起,swell,shell,spell,sweet
珍品,curiosity,precious  deposits,rubbish,birthday present 
次序,sequence,sentence,ranking,then
坦白,confess,countess,congress,confuse
水下,submarine,summarize,downstairs,below zero
缩小,lessen,lesson,lessee,vessel
通常,usual,unusual,equal,mutual
有势力的,important,impotent,importune,importance
梯子,ladder,bladder,udder,laden
先进,advanced,close the country to international intercourse,unfold,revolutionary
抽象,abstract,attract,obstruct,distract
使整齐,trim,trip,teem,pram
大纲,outline,outlive,outlying,online
校长,headmaster,commander,attache,assistant director
航天飞船,spaceship,anthropoid,affinity,dog
旋转,spin,pi,sin,spine
高尔夫球,golf,wolf,bole,folk
犹太人的,jewish,marketable,enmesh,youngish
按下,depress,press,repress,heiress
进展,advance,askance,advice,dance
束,bundle,bungle,curdle,muddle
阻碍,interference,provocation,trouble,infest
替换,shift,theft,shit,shifty
奶油,cream,real,crease,great
传闻,rumour,tumour,humour,armour
流动,mobile,morale,mobilize,mile
稀有,rare,here,yard,rate
释放,discharge,reeducation through labor,wanted by the police ,reexamine 
叉,fork,cork,ford,furl
陈列,display,displace,splay,mislay
根,root,foot,roost,roast
盥洗室,lavatory,box ,hall,bedroom
平凡,ordinary,urinary,ordinal,medium
远足,excursion,incursion,expulsion,exclusion
弹丸,bullet,gullet,ballet,bully
点,spot,snob,sect,set
单独,solely,oneself,just like,respective
磁带,tape,cape,stare,lane
讲,utter,peter,gutter,meter
大气,atmosphere,passionate,modest,overrate one's own abilities
关于,concerning,with regards to,to  stand in for,to depend on
织,weave,beaver,pave,delve
不幸,unfortunately,fortune,exceedingly,to rise to power and position
细胞,cell,sell,help,tell
毫米,millimetre,millilitre,marine,ounce
堆积,accumulate,be decorated with lanterns and colored banners,to extend ,be found everywhere
士兵,soldier,solder,holder,collier
树枝,branch,franc,blanch,French
园丁,gardener,garner,garden,coach
收割,reap,peal,rat,rear
海上,marine,sardine,ravine,famine
抓住,seize,spine,slice,beige
有,possession,possessive,obsession,to put out
电子,electron,election,electrode,electronic
孩子,childish,only son,twin,girl
绊倒,stumble,tumble,rumble,shamble
信仰,faith,fifth,fairy,gait
最初,primary,primacy,primarily,prima
小部分,fraction,traction,friction,faction
题名,heading,a  charge,trademark,be commonly referred to as
胡椒,pepper,reaper,dapper,peter
缺点,fault,salt,fast,vault
后者,latter,fitter,batter,letter
排除,eliminate,prevail,purge,wash
榨,squeeze,sneeze,midmost,over
奖学金,scholarship,installment,credit,scholarship
刺,stab,star,straw,sag
存在,existence,hand down ,supply and demand,relevant
成功,succeed,success,screed,to suffer a setback
发动机,engine,ermine,engineer,angina
增加,increase,decrease,incense,crease
实际上,practically,willingness,no wonder,might as well
可接受的,acceptable,acceptance,abandoned idea,gentle
高级,sophisticated,commonplace,to pass a test,not bad
澄清,clarify,clarity,charity,classify
主人,master,water,mister,pastor
东北,northeast,southeast,northwest,colony
礼节,ceremony,hegemony,baptism,opening ceremony
管道,pipeline,sideline,backbone ,route
