#word,meaning,option1,option2,option3
rekindle,重新点燃,发展,倾斜,惦念
bile,胆汁,眼泪,痰,鼻涕
gnome,地下宝藏的守护神,印记,篡改,棉纱
preventive,预防,消防,防水,伤害
deter,威慑,逼债,强制,引入
roil,煽动,勉强,逼迫,玩儿
infelicitous,不幸,进退两难,发迹,胜利
manifesto,宣言,海报,字帖,广告
concord,和睦,繁杂,紧密,不和
contact,接触,刺激,着陆,冲击
needlework,缝纫,绣花,保存,修补
detonate,(使)爆炸,炸,加热,取暖
courtesy,礼貌,礼节,葬礼,婚礼
intoxicate,使醉,困难,诗,孵
categorical,无条件的,不妨,不如,也
effeminate,缺乏勇气,光辉,不在话下,粗劣
lactic,乳汁,胆汁,痰,白血球
vertigo,眩晕,感冒,窒息,晕船
actuarial,保险计算,记录装置,否则,烦恼的事或人
cross,生气,迁怒,暴跳如雷,烦闷
gullible,易受骗的,给…着色,(车间)主任,因而
unadulterated,没有搀杂,死亡,航行,构成
eulogize,称赞,对抗,背弃,违宪
detoxify,解毒,杜绝,洗刷,铲除
hatch,船舱盖,银行,用蒸汽开动,全国性的
transcend,超越,不可逾越,抑制,便于
scads,大量,傲然,严词,宽限
disinclined,不愿,爱理不理,情愿,拿手
pastoral,田园生活,在..以内,使……付诸实现,字母
infamous,恶名昭彰,最后,宽阔的罩衫,汽油
aspirant,有抱负者,暴力,打孔,等待
phonetic,语音,叮当,音节,叫声
subliminal,潜意识的,容易,邀请,得到
fulmination,抨击,谴责,确认,反驳
die,金属模子,推理,大楼,女装
felicitate,庆贺,恭贺新禧,应付,庆祝
misinform,向...提供错误信息,坚硬,(对生物的)伤害,湖水
caveat,警告,教训,调教,转播
swerve,突然改变方向,研究生的,船长,运载工具
quail,畏惧,安土重迁,吃不服,懂事
bombast,高调,私语,套子,家常
overdue,过期未付,(一)大批,允许,舒服
evocative,激起,限制,兴奋,寄予
conquest,征服,覆灭,不见,陷落
amicable,友好,对抗性,严密,不和
despotism,专制,大公无私,保守,革命
rationality,合理性,不攻自破,不足为训,定型
piquancy,辛辣,无情,凶猛,和平
guillotine,断头台,神道,亭子,站台
fluctuation,波动,勃勃,和平,衰败
cement,粘合,糊,擦澡,洗刷
fortitude,坚毅,不修边幅,愚笨,聪明
salient,显著,官方,含糊,背后
probation,试用(期),试验,补考,期考
peripatetic,巡游,打牌,探险,消遣
deportment,(尤指少女的)风度,动作,毛病,暴行
swamp,使陷入,中断,乐曲,禁止
oar,桨,螺旋桨,舱,舵
mishap,不幸,不好,发迹,顺利
produce,产品,存货,期货,复制品
eurhythmic,匀称,琐细,详细,广阔
aspersion,诽谤,笑话,丑化,反唇相讥
incorporate,合并,众志成城,久违,团圆
deed,行为,权柄,王权,暴行
sedate,镇静,不愧,不好意思,着急
affectation,做作,悬,假装,屏气
sky-rocket,陡升,压缩,切换,改组
duet,二重唱,合唱,独唱,对唱
ecosystem,生态系统,(使)缓慢地移动,激烈,印
migrant,移民,干部,职工,土著
blush,因某事物脸红,包含,喜欢,不多
cereal,谷类食品,争论,系列,逆
misdirect,写错地址,没有东西,爪,店主
effluvia,废料,废气,宝物,矿藏
foul,(体育等)犯规,耽搁,不是,激励
pilfer,偷窃,绑票,结果,盗版
sheathe,将(刀,签,可靠,(欧洲公国的)君主
referee,裁判员,先生,种子,投手
prolixity,罗嗦,叠,以后,保有
chicanery,诡计,五年计划,手法,毒计
