#word,meaning,option1,option2,option3
intoxicate,使喝醉,欺骗,活动(范围),动物园
forearm,预先武装,表,弄错,电击
vertigo,眩晕,晕船,发烧,伤风
buffer,缓冲,缔结,平底锅,刚才
cross,交叉,挨次,轮流,顶风
transcend,超出,不啻,超龄,一般来说
criticize,评论,评比,点名,评估
aspirant,渴望,要求,追求,向往
actuality,真事,呼吸的空气,理由,会话
phonetic,语音,擦音,音节,嗓
pave,铺满,被抛弃的东西,排列,矫正
houseboat,居住船,杂志)记者,部门等的)领导人,黑板擦
abed,卧病在床,向东方的,瓶子,把钱存入银行
romp,嬉耍喧闹,补钉,惊退,平静
overdue,过期,吃不消,满期,到期
tripe,肚肠,职业,用机械加工,院子
swamp,淹没,陷落,漂流,溢出
migrant,移居者,是否,／,角色
cereal,谷物,谷类,木耳,菌类
kerosene,煤油,酒精,石油,汽油
capstan,绞盘,齿轮,刨刀,刨床
referee,裁判,定案,逼供,究办
hilarious,引人发笑,四十,幸运,坚固
mat,使缠结,蛇,贵重,家事(不可数)
peep,窥,存在,一伙人,烟筒
incision,切口,梦话,口号,脏话
neuralgia,神经痛,咳嗽,消化,痒痒
electorate,选举人,支持者,示威者,农奴
dialectic,辩证,辩解,雄辩,答辩
reprieve,缓刑,刑事,徒刑,市场经济
barrage,开火,战斗,内乱,挑战
overt,公开,简明,不法,合法
sparse,很小,矮胖,逼仄,中等
scoop,匙杓,奇怪,空中旅行,(时间)流逝
supervise,审阅,读报,酬和,背诵
debut,首次进入社交界,令人兴奋的事,范围,废话
globular,全球,第三世界,社会,国家
prig,纨绔子弟,妖精,大炮,伪君子
flaunt,藐视,歧视,弃置,保重
scribble,拙劣的作品,简要介绍情况,(对生物的)伤害,图样
accord,相符合,参加,尊敬,水坝
staff,雇用,贬谪,就业,备取
damp,潮湿,流行,凉爽,闷热
vapid,无趣乏味,放荡,节奏,引起
coma,怠惰,继承,避重就轻,垮
twirl,扭转,蒙受,遂,分享
athletic,健壮,瘫软,年青,虚弱
flute,长笛,梆子,板鼓,板胡
whet,磨,(大中学校的)学生,独立,提出
gazelle,瞪羚,扔,旺季,可视电话
confound,混淆,改正,改过,渎职
hobble,跛行,蛮荒,畅销书(货),使潮湿
kiln,窑,全民,比较,大笔的钱
optional,随意,没有,竭尽,痛快
crossroad,十字路口,渡口,出口,窗口
rooster,雄禽,市镇,论文,开始
vengeful,报复,腐蚀,报仇,蛊惑
dope,药,探险家,错误,平稳
limp,格律不顺,执行,经训练学到的,主人
