#word,meaning,option1,option2,option3
underestimate,低估,估计,臆测,展望
rekindle,使再振作,圆盘,评论,命令
relieved,免除,洗刷,消灭,克服
deter,使踌躇,麻烦,干扰,触怒
unevenly,不均衡地,产品,(乡间)小道,容易
contact,使接触,畏缩,一道菜,可悲
trove,被发现的东西,顶点,友人,金属
shifting,变动,年轻化,液化,最大化
bunch,聚集,分别,告别,密集
hatch,孵化,产卵,野生,活着
transcend,超出,比不上,俨然,一般来说
breath,呼吸,吐,呼唤,叮
pave,铺设,放置,装置,组装
acceleration,加速度,频道,赫兹,庹
quail,鹌鹑,莺,鸵鸟,猫头鹰
greedy,贪婪,自私,清廉,正当
post,张贴,洗澡,糊,洗刷
conception,观念,听力,功夫,笔触
overdue,迟到,不胫而走,兵贵神速,很快
congested,拥挤,吵闹,动荡不安,热闹
syllable,（语音）音节,第十三个,工会,约会
fluctuation,波动,按兵不动,多情,冷淡
moisture,潮湿,凉爽,崭新,不透气
salient,显著,合法,公然,顶用
swamp,沼泽,沙漠,草地,平原
advancement,进展,一再,恶性循环,并举
encyclopedia,百科全书,碑帖,新书,伪书
produce,生产,冻结,分娩,变质
remedy,治疗,雕塑,版刻,调色
ecosystem,生态系统,领域,富庶,便宜货
migrant,候鸟,家禽,雕,夜莺
blush,脸红,怕羞,暗送秋波,哀叹
aluminum,铝,白铜,青铜,黄铜
foul,污秽,蓬松,神经过敏,方便
kerosene,煤油,石油,焦油,汽油
therefore,因此,鉴于,看来,只有
myth,神话,特写,编年史,散文
enzyme,酶,使发生联想,硕士,审讯
malnutrition,营养不良,一排房屋,晾干,宝贝儿
slip,滑动,潮流,对流,移动
juice,（水果）汁,陈列,创始人,果断
metaphor,隐喻,比喻,安步当车,称呼
counterbalance,使平衡,我们亲自,苦的,操作
refrigerator,冰箱,核电站,堡垒,兵站
footnote,脚注,说明,注解,例言
paycheck,付薪水的支票,由大到小,不吸烟的人,更多
unobstructed,畅通无阻,通风,附着,堵车
stagnant,停滞,关门,停止,截至
waist,腰,乳头,肚子,马背
intellect,智力,才智,度量,先见之明
dragonfly,蜻蜓,蠓,蟑螂,幼虫
carving,雕刻品,测绘,绘图,雕琢
decorative,装饰,组装,制作,克隆
oxygen,氧气,氮气,氢气,毒气
converter,炼钢转炉,花(菜)园,碎块,偷盗
rebuke,斥责,谴责,保密,驳倒
courteously,有礼貌地,画蛇添足,熟知,不得了
speculate,推测,坚持,主张,臆测
undergo,经历,度假,渡过,熬夜
thrifty,节省,抽出,平衡,足够
intellectual,知识分子,白面书生,艺术家,诗人
trilogy,三部剧,草稿,短文,散文
cliff,悬崖峭壁,要塞,墓地,乐园
costume,穿衣,绕,安全带,披
ultrasonic,超音速的,协同工作,变化,到极大程度
butter,黄油,板油,池盐,猪油
abolish,废除,牵连,放弃,舍命
provoke,激怒,顶撞,搅扰,纠缠
shocking,骇人听闻,无穷,紧张,动人
strap,用带缚住,诺言,引进,参考
fanatic,狂热,发狂,流血,瘫痪
phenomenally,明白,熟悉,忘记,发现
personnel,人员,人类,个人,每人
overt,明显,暧昧,非官方,暧昧
craft,工艺,移植,生产能力,核技术
consort,陪伴,拥护,会见,迎接
sparse,稀少,对偶,些许,大多数
voluntary,志愿,愿意,闭门思过,悔恨
defense,防卫,捍卫,不可抗力,边防
emancipation,释放,审讯,捕捉,搜捕
gazette,政府公报,遍及,抓住,最后
consequently,从而,那么,不论,是否
questionable,可疑,神奇,不对,莫名其妙
supervise,监督,督促,备查,监视
meaningful,意味深长,可观,无情,深刻
readily,容易,供应,供需,满足
hydrogen,氢,读物,地区,目的
wristwatch,手表,摆钟,警钟,跑表
disseminate,传播,传说,混合,谣传
ethics,道德规范,伐木工,镐,(友好、随便的)谈话
afford,提供,并行不悖,相对,供应
abut,邻接,接近,闭塞,渗透
nonhuman,非人类的,负的,不熟悉的,社交界
carapace,（蟹或龟的）甲壳,正号,尊敬(重),加热
hay,干草,藜,薄荷,苔藓
dominant,支配,制约,便宜,制止
precipitate,沉淀物,原生质,介质,金属
auger,螺丝钻,收获,计划,有兴趣的
incongruous,不协调的,许多,油煎,染
algae,海藻,薄荷,青草,香草
fruitfulness,多产,小题大做,开头,动手
confirm,证实,可见,根源,百川归海
fable,寓言,小说,卷,编年史
buzzer,蜂鸣器,努力,供职,丑恶
lava,熔岩,沙石,石灰石,鹅卵石
economical,经济,多快好省,小题大做,损失
staff,全体人员或职员,痛苦,表格,公民权
damp,潮湿,凉快,崭新,暖和
heyday,全盛期,珍品,运动员,吵嚷
well-being,安宁,多情,变乱,百孔千疮
muscular,强壮,年老,年轻,虚弱
tempt,诱使,胁迫,引入,欺侮
house,给…提供住所,比例,难看,适合
cardinal,一种美洲鸟,情欲,太太,查禁
meticulous,一丝不苟,奢侈,用功,疏忽
irregularly,不规则地,林地,活动,憔悴
baggage,行李,总统,首脑,罗斯福
maize,玉米,大麦,麦子,冬小麦
bore,令人厌烦,模仿,举行,长时间
pitch,音高,透明度,亮度,力度
security,安全,急忙,哀鸿遍野,危亡
legible,(指印刷或字迹)清楚地,粉末状的,百叶窗,迟
kiln,（砖、石灰等）窑,新闻影片,代…问好,令人愉快
liberate,释放,审讯,捕获,劳教
optional,可自由选择的,(道路上的)交通安全岛,铲,使人高兴的东西(或人)
unrestrained,无限制的,建议,与...相配,抱怨
stern,苛刻,坦白,敦厚,毒辣
aurora,极光,本影,光束,暗影
cosmic,宇宙,翅膀,星球,星座
backpack,背包,冰袋,钱袋,钱包
remark,评论,裁判,点名,蹲点
chaos,混乱,蓬松,失调,丰衣足食
rooster,公鸡,松鸡,小鸡,白鹤
nourish,滋养,氨基,补语,谓语
ductile,柔软,确实,韧性,简短
obstruction,阻塞,通行,通风,摩擦
amaze,使吃惊,目标,闪光灯,狼
incessant,不停,往往,老是,原本
bicameral,两院制的,边界,争论点,契约
promote,促进,范围,强加,拔苗助长
couple,夫妇,配偶,哥哥,并蒂莲
conglomerate,混合,散播,传输,交叉
rustproof,不锈,金钱,杂志,诚实
fold,折叠,丢开,排放,堆
clog,障碍,余烬,屏障,约束
incongruity,不一致,迟钝,大半,十六
nominate,提名,保送,援引,露面
simplicity,朴素,浪费,用功,不辞辛苦
opaque,晦涩难懂,文本,岸,液体
dormant,静止,固定,活跃,合情合理
vegetable,蔬菜,菠菜,芑,白菜
efficient,生效,缠绕,鼎立,互通
fortune,运气,桃花运,薄命,幸运
folding,可折叠的,(眼睛的)瞳孔,颤抖,螺母
halt,（使）停止,一匙的量,格外,阴影
deficient,缺乏,现存,不足,平衡
tardiness,缓慢,效率,疾驰,兵贵神速
cowboy,牛仔,武松,圣人,懦夫
humanity,人性,孩子气,同辈,个性
disperse,分散,不欢而散,为首,纠集
touchdown,着地,降价,上涨,贬值
cushion,垫子,帱,帐篷,衬垫
outgrow,生长速度超过…,无线电话(电报),多雨,点菜
parade,游行,对抗,罢工,发牢骚
spined,有脊骨的,使变酸,初学者,柔软(和)的
escape,避开,应得,避免,消防
solder,焊接,锻造,保修,培修
radiation,放热,进修,学习,半工半读
rupture,断裂,断开,厝,撕毁
depressed,沮丧,变色,大发雷霆,失望
swelling,肿胀,疼痛,咳嗽,消化
starve,挨饿,口渴,醉,冬眠
container,容器,浏览器,服务器,矿产
extract,拔出,挖掘,剥离,挽
association,协会,总部,商队,东盟
threadlike,线状,朴素,雇用,绒毛
aviation,航空,巡航,行驶,对开
deception,欺骗,迷惑,骗取,任凭
incorpoarate,包含,含水,包藏,有价值
transmute,使变化,箱,弱的,农民
fertile,主意多的,粗心,容易,嗜好(不包括阅读等)
broadcast,广播,调教,放映,对光
doubtful,疑心,亲信,拥戴,半信半疑
eclecticism,折衷主义,无神论,才学,中学
pillow,枕头,壁毯,棉被,毛毯
shear,剪切,劈开,雕刻,裁剪
explode,爆炸,叮当,咆哮,衍射
attract,引起注意,意外的相见,（水果、蔬菜、肉等的）汁,封皮
chateau,城堡,校舍,危房,棚子
output,输出,贸易,贸易额,财贸
nonsense,胡说,喋喋不休,诉说,多嘴
memory,记忆,挂念,回顾,晓得
alchemy,炼金术,尚,重的,破旧
expedition,探险队,辅助,朝,压迫
creep,慢慢行进,商人,条件,(接连地)打
depositor,存款人,暴君,承包人,资本家
legislature,立法机关,百万,(风等)怒吼,向前
fishy,腥臭,芳香,甜美,斑驳陆离
sprawl,扩展,转向,变调,改组
shipwright,造船工人,用法说明,第四,程度
discount,不全信,审议,转动,(定期在某地举行的)音乐、戏剧节等
obliterate,涂掉,牛,博物馆,加宽
crew,全体工作人员,不过,有趣味的,变得暗淡
specify,明确说明,编辑,发明(物),女王
treacherous,不可靠的,关入笼中,重…,交叉点
longevity,长寿,年轻,无力,步履维艰
formative,形成中的,恶劣)的,贵重,然后
haunted,受到折磨,伪托,祝福,捏合
messy,肮脏,逼人,神经过敏,丰衣足食
partial,部分,大多数,稠密,少数
endlessly,不断,频仍,一向,总是
overtime,超时,占便宜,不堪,耽搁
minimal,最小,最低,身高,巨大
healthful,有益健康,仁慈,金发,出口
draft,起草,推理,统计,作文
luminosity,亮度,赫兹,标高,周长
meridian,子午线,北极,盆地,大陆
solar,太阳,光泽,白炽,灯光
novelty,新颖,破旧,独创性,古老
semimolten,半熔化的,珠宝饰物,弓形物,特别
equestrian,骑士阶层,驾驶,搭乘,行驶
period,时代,过渡,明代,短期
distribute,分配,按需分配,包场,借款
scapegoat,替罪羊,难民,被害人,当事人
sting,刺,戳,穿透,开门
spanking,强烈,合法,使得,可疑
wane,减少,补票,淘汰,裁军
tub,桶,浴盆,瓶子,钵盂
despoiler,掠夺者,过去,余地,斗争
accomplishment,成就,吸毒,定稿,普及
painstaking,辛苦,久违,对不起,打扰
weariness,疲倦,懒洋洋,屏息,昂昂
breakdown,细目分类,绅士,巨大,挨饿
millennia,一千年,遭遇,(足球等的)球门,期终考试
girder,钢结构大梁,邮票,醒着,实际上
varied,杂色,本职,课余,正式
ornamentation,装饰,酿造,制造,装置
sparingly,节俭,笨鸟先飞,密切,懒惰
clay,粘土,表土,土壤,化石
terminate,停止,收盘,关门,熄灭
foresight,远见,主意,眼光,风味
mistrust,怀疑,确信,拥戴,妒忌
surpass,超越,束缚,制裁,有益
affluent,富有,共有,有价值,发表
intensify,扩大,改装,推广,改组
graze,放牧,打猎,饲养,哺育
distant,远离,离开,拐弯,回去
harmonize,（使）协调,弹簧,看到,女演员
asymmetrical,不均匀的,废物,索,将…奉献(给)
billion,十亿（的）,意见,喊,飞行器
fungi,真菌,白木耳,蕈,小麦
loom,隐约闪现,距离,相隔,接近
cannibalism,同类相食,粉碎,处理,经纪人
illusion,幻觉,反感,味道,恶心
consortium,财团,夫妻店,中央银行,世界银行
