#word,meaning,option1,option2,option3
使喝醉,intoxicate,intoxicant,intricate,wither
预先武装,forearm,firearm,forewarn,forward
迷惘,vertigo,vestige,to take one's anger out on sb ,to get angry
缓冲,buffer,burner,buffet,offer
横跨,cross,toss,tress,crass
胜过,transcend,transient,such as,not limited to
批评,criticize,criticism,take the blame,attack 
渴望,aspirant,aspirin,to look forward to,to forecast
真事,actuality,actualize,actually,stab
语音,phonetic,poetic,phonetics,voice
铺,pave,mace,salve,prove
居住船,houseboat,ancient,goad,moisture
在床上,abed,abide,abend,add
嬉耍喧闹,romp,crimp,pomp,bomb
过大,overdue,overrun,overture,overdo
肚肠,tripe,gripe,rise,rife
淹没,swamp,scamp,swarm,camp
迁移,migrant,emigrant,migrate,migraine
谷类植物,cereal,real,serial,corral
煤油,kerosene,tar,alcohol,gas
绞盘,capstan,capital,captain,gear
担任裁判,referee,reverie,reference,reserve
引人发笑,hilarious,vicarious,veer,brow
使缠结,mat,malt,rat,tar
窥孔,peep,prep,weep,veer
切口,incision,indecision,infusion,envision
神经痛,neuralgia,digest,analgesic,to cough
选举人,electorate,supporter,protester,servant
辩证逻辑,dialectic,dialect,pathology,opinion
暂时解救,reprieve,reprove,relieve,retrieve
复赛,barrage,narrate,arrange,marriage
公开,overt,avert,covert,poverty
稀薄,sparse,spasm,spar,spare
勺,scoop,snoop,scoot,stool
审阅,supervise,superfine,supervene,to browse
首次演出,debut,debt,rebut,debit
球形,globular,globule,invisible,square
纨绔子弟,prig,April,prim,pry
藐视,flaunt,flat,slant,flint
乱涂,scribble,dribble,scramble,misfortune
谅解,accord,actor,accost,chord
雇用,staff,stuff,stiff,shaft
封,damp,pap,warp,dime
无趣乏味,vapid,vain,avid,rapid
怠惰,coma,pomp,dome,cola
捻弄,twirl,twill,twine,trial
健壮,athletic,pathetic,athlete,male and female
长形物,flute,flee,lute,elate
刺激,whet,weep,bet,hot
瞪羚,gazelle,gazette,stalk,steam
混淆,confound,compound,lit.: draw legs on a  snake,miss
跛行,hobble,cobble,gobble,wobble
把...放在窑内烧,kiln,mild,file,win
随意,optional,national,option,optical
十字路口,crossroad,crossword,Haikou,border checkpoint
雄禽,rooster,roster,bolster,lobster
报复,vengeful,revengeful,return,retribution
给服药,dope,come,elope,lose
跛行,limp,slimy,dim,him
