#word,meaning,option1,option2,option3
contact,熟人,教友,盟友,对头
cross,横跨,独立,掉头,抬头
gold,金,顺..前进,面对,法官席
breath,气息,天蓝色,白色,粉红色
die,模具,杠杆,模子,扁担
brave,壮观,病容,前景,美貌
post,柱,明亮,投射,在国外
money,财产,动产,售价,出价
brother,兄弟,提供,幼畜或雏鸟,王国
hole,洞,颤抖的动作或声音,用,公里
rate,比率,汇率,效率,死亡率
produce,成果,成就,政绩,污点
big,成功,破产,不力,败退
therefore,因此,由此可见,那么,无论如何
burst,爆发,失去,发出,灭绝
shadow,渐变,变色,变异,演变
gun,炮,悔恨,学问,极少量
boat,乘船,航行,飞行,行驶
shoulder,肩起,矿山,增进,结束
new,新的,执照,公布(常用于被动语态),医生
head,长头,扫除,使硬起心肠,事变
moment,片刻,实时,多年,半天
laughter,笑意,反感,酸痛,视觉
personal,亲自,步步,互动,独自
readily,迅速,疾驰,兵贵神速,速成
into,进,跳水,地区,责任
afford,买得起,准备好的,用,祝
month,月,看待,管理,有趣味的
yours,你的,养料,以前,悄悄
harry,袭击,奔袭,阻击,爆破
concern,关心,谅解,爱惜,宽容
accord,谐和,琐细,麻烦,对称性
staff,雇用,任免,解雇,接替
happy,乐意,闭门思过,悔罪,不会
house,覆盖,遮掩,挺,展开
road,路,画廊,扶手,栏杆
lover,爱人,女朋友,中介,男朋友
bore,挤出,足够,节省,平衡
noon,正午,早晨,下午,晚间
again,到原处,电梯,森林,心灵
remark,说,听见,传闻,倾听
stream,河,冲洗法,提到,定律
useless,差劲,不稂不莠,无所不能,博闻强记
business,交易,贸易额,出口,外贸
couple,连接,老是,天天,本来
murmur,细声,极需,而且,允许
size,尺码,高度,比例尺,宽度
angel,天使,西王母,仙女,上帝
pick,凿,主要,差地,合伙人
kindly,衷心,叛逆,虚伪,转弯
fortune,富有,正当,在于,在前
license,准许,盖章,签证,禁止
strength,力,假期,含义,担负得起(损失、费用、后果等)
a,一,渴求,伦理,低劣的报纸
humanity,人类,劳动力,个人,老百姓
escape,逃脱,幸免,防水,避孕
bed,睡,已下决心,低劣,山岗
silence,使安静,一边,再次,衍条
add,做加法,组成,傻子,踱步
method,方法,常规,灸,角度
store,储存,保藏,找到,保留
memory,记忆,追悼,惦记,明了
expedition,旅行,对开,跋涉,长征
sky,苍天,必由之路,出路,神道
ashamed,惭愧,紧张,安稳,抱歉
than,比,锻炼,总管道,发愁
choice,中上级的,一大阵,正数,离家
belief,信念,笔触,传统,心理
all,全体,纷纷,稠密,多数
angry,狂暴,耐烦,爱面子,宾至如归
no,反对票,订单,帐单,报单
wisdom,知识,科学,变数,墨水
ahead,向前,渐进,昂首阔步,纠正
against,对...不利,雇用,当时,有魔力的
period,纪,养料,开始,正确
distribute,分,要点,时机成熟,人行道
