#word,meaning,option1,option2,option3
低估,underestimate,reckon,assumption,expect
分支,ramification,state-run,personal,imperial
吓住,deter,cater,peter,deer
接触,contact,context,contract,content
礼貌,courtesy,countess,courtly,funeral
一串,bunch,brunch,lynch,lunch
特技演员,stuntman,moreover,upholster,dignity
易受骗的,gullible,flower,verbose,studious
孵,hatch,hutch,patch,hitch
超越,transcend,transient,insurmountable,inexpensive
揩油,hijack,jack,hack,to cheat
表示语音,phonetic,poetic,phonetics,particle 
铺,pave,five,save,ace
潜意识的,subliminal,cunning,numerate,extort
青春期的,adolescence,irises and orchids,darling,paternal grandfather
转向,swerve,nerve,serve,shelve
贪吃,greedy,greed,breed,freely
受孕,conception,concession,confection,inception
(债款)到期还未付,overdue,overrule,overdo,overawe
攻取,conquest,conquer,contest,inquest
挤塞,congested,pulp,behaviour,monogamy
维持,upkeep,peep,keep,remain
音节,syllable,syllabus,salable,roaring 
水泥,cement,client,event,semen
试用(期),probation,promotion,peroration,rotation
沼泽,swamp,swab,same,cramp
划(行),oar,car,hear,yarn
不幸,mishap,bishop,mislay,to rise to power and position
百科全书,encyclopedia,dictionary,old books,reference
疗法,remedy,seedy,ready,recede
收编,incorporate,assign,to demodulate,marshalling
嗡嗡声,hum,him,hod,nun
生态系统,ecosystem,compendium,product,eighth
移民,migrant,emigrant,migraine,immigrant
脸红,blush,bush,brush,bust
谷物,cereal,aerial,repeal,reveal
肮脏,foul,fox,your,four
(使)融化,melt,mulct,belt,meat
煤油,kerosene,petroleum,tar,alcohol
裁判,referee,refugee,reserve,reverse
神话,myth,math,both,moth
酵素,enzyme,scandal,lilt,wither
营养不良,malnutrition,carol,infirmity,calumny
失误,slip,lip,snipe,slop
充满欢乐,hilarious,vicarious,actor,festival
接近,oncoming,dignified,like,on the other hand
隐喻,metaphor,analogy,call,common name
使平衡,counterbalance,annals,seniority,batch
冰箱,refrigerator,weaver,palm,monastic
战略(上)的,strategic,strategy,strategist,edit
十年,decade,debase,decode,decide
可任意使用的,disposable,misdate,groundnut,splendour
喧闹的酒会,carousel,actress,astern,sentinel
不流动的,stagnant,stagnate,cease fire,extinguish
切口,incision,infusion,envision,invasion
理智,intellect,interject,intersect,tyrannical
无钱还债,insolvent,fourteen,mainspring,deputation
尼龙,nylon,pylon,salon,noon
瘤,tumour,rumour,tutor,humour
相反,conversely,too,that sort,how 
纵恿,entice,entire,entitle,engine
思考,speculate,peculate,conceive,associate
遭受,undergo,underdog,under,to share
显示智力,intellectual,vomit,mediaeval,carp
戏服,costume,consume,contuse,posture
超声波,ultrasonic,trough,surge,foam
讨厌的东西,nuisance,guidance,scientist,obituary
废除,abolish,polish,foolish,ruin
引起,provoke,promote,propose,revoke
皮带,strap,stray,scrap,steam
狂热者,fanatic,fantastic,lunatic,frantic
最大限度,maximum,maxim,minimum,exceedingly
人事(部门),personnel,personal,hippodrome,lizard
公开的、非秘密的,overt,avert,over,convert
船,craft,crab,crypt,graft
稀少,sparse,parse,arse,spark
自愿,voluntary,repent,can,cannot obtain
个人,personal,personable,seasonal,personage
铲子,scoop,swop,slop,stop
监视,supervise,superfine,supervene,roll call
很快,readily,ready,deadly,really
氢,hydrogen,submissive,spittle,marine
提供,afford,accord,ford,effort
癌症,cancer,gander,concert,carper
占优势的,dominant,dominance,dominate,ruminant
可信,credible,edible,crucible,incredible
乘务员,steward,reward,stead,clerk
匆忙,precipitate,wander,pressing,be at one's wits' end
不调和的,incongruous,glisten,dependence,deception
所关切的事,concern,concept,concert,convert
藻类,algae,herb,Chenopodium album,moss
炫耀,flaunt,flat,fauna,gaunt
使一致,accord,actor,chord,record
证实,confirm,confine,infirm,confide
粗野,insolent,innocent,indolent,superficial
不相配的,inapt,adapt,inept,nape
节省,economical,economics,economic,extract
参谋,staff,stiff,star,scoff
潮湿(的),damp,carp,deep,damn
中期,interim,interior,inherit,intercom
租佃,tenancy,tenant,tendency,rent land or a house for subletting
依靠,rely,melt,reek,rile
使地方分权,decentralize,diary,biology,withhold
肌肉,muscular,vascular,involuntary muscle,tree bark
危机,peril,perm,serial,perky
引诱,tempt,hemp,tent,emit
首要,cardinal,carnal,ordinal,marginal
细心,meticulous,serious,industrious ,idle
监考,invigilate,to inspect ,stay at a selected  grass-roots unit to help improve its work and gain firsthand experience for guiding overall  work,judge
手推车,cart,war,part,salt
行李,baggage,luggage,bandage,barrage
视觉,visual,ritual,dismal,casual
玉米,maize,mail,raise,baize
使人烦,bore,store,lore,boar
投,pitch,botch,itch,hatch
概念,notional,significance,inkling,pathology
安全,security,leisurely,law and order,danger
可辩认的,legible,edible,eligible,illegible
可以任选,optional,option,optical,national
(面容等)严厉的,stern,steep,star,astern
宇宙,cosmic,comic,commit,mosaic
粒状,granular,disbelieve,blood,lockout
搭载,embark,mark,remark,ember
骚动,disorder,disorderly,stability,steadily deteriorate
混乱,chaos,chair,charm,chamois
过敏症,allergy,gallery,alley,clergy
前言,preface,presage,prepare,prefab
提供养分,nourish,tourism,flourish,tourist
畜舍,stall,shall,tall,smell
进入者,entrant,entrust,entrance,extant
使惊愕,amaze,damage,adze,maze
事务,business,logistics,nuclear engineering,livelihood
暂时,provisional,real time,indelible,glow
提升,promote,promotor,prorate,prompt
低沉连续的声音,murmur,murder,parentage,debility
袋鼠,kangaroo,dolphin,mole,squirrel
蹒跚,limp,lop,lime,flip
（固定断骨的）夹板,splint,print,saline,slink
命名,nominate,dominate,abominate,nominee
挑选,pick,nice,peck,lick
不透明的,opaque,pique,plaque,cinder
排泄物,excrement,excitement,increment,ruby
冬眠,dormant,mordant,format,torment
氧化物,oxide,slide,elide,oxidize
有效率的,efficient,sufficient,deficient,efficiency
退步,regression,corruption,cause to develop,routine
停住,halt,hoot,rant,hall
后代,posterity,posterior,prosperity,older generation
人性,humanity,humanize,inhumanity,humanism
(使)分散,disperse,dispense,dispose,displease
竖直,upright,fright,bright,aright
垫子,cushion,fusion,cession,fashion
检阅,parade,prate,phrase,garage
港口,port,hurt,apart,snort
破裂,rupture,future,rapture,capture
使饿死,starve,stark,scare,statue
辞典编纂,lexicography,solidify,demand,lunatic
提取,extract,retract,extant,detract
