#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
胆汁,bile,tile,vile,bake
地下宝藏的守护神,gnome,dean,incest,seldom
预防,preventive,retentive,prevention,unfavorable
威慑,deter,meter,dote,date
煽动,roil,stir up,manage  with difficulty,force
不幸,infelicitous,desperately serious,good luck,break out
宣言,manifesto,manifest,communique,manifesto
和睦,concord,concoct,contort,concern
互通信息,contact,contain,content,contrast
缝纫,needlework,access,retain,taut
(使)爆炸,detonate,decorate,donate,desolate
礼貌,courtesy,countess,courtly,burial
陶醉,intoxicate,intoxicant,intricate,sensible
无条件的,categorical,too,naturally,in addition
缺乏勇气,effeminate,large-scale,be a cinch,powerful
乳汁,lactic,attic,hectic,arctic
眩晕,vertigo,vestige,have a high temperature,suffocate
保险计算,actuarial,thousandth,amplitude,simplify
生气,cross,gross,cress,crop
易受骗的,gullible,weird,smug,zinc
没有搀杂,unadulterated,applicant,choose,ebb
称赞,eulogize,jest,fig.: wonderful!,unconstitutional
解毒,detoxify,give up on,extinguish,to abandon
船舱盖,hatch,match,catch,notch
超越,transcend,transient,limit to,restrict at
大量,scads,not stint,pride,narrow
不愿,disinclined,not allow,voluntary,to want
田园生活,pastoral,reputation,hallo,fumble
恶名昭彰,infamous,famous,impunity,momentum
有抱负者,aspirant,aspirin,backfire,feasible
语音,phonetic,poetic,phonetics,barking
潜意识的,subliminal,tomfoolery,spectre,flick
抨击,fulmination,accepted ,out-argue,meddle
金属模子,die,edge,din,sue
庆贺,felicitate,blessings,offer birthday felicitations,deal with
向...提供错误信息,misinform,hobo,warpath,real
警告,caveat,to give lessons,alarm bell,regulate 
突然改变方向,swerve,nerve,sleeve,serve
畏惧,quail,quay,frail,qualm
高调,bombast,murmur,the daily life of a family,cap
过期未付,overdue,overture,oversee,overawe
激起,evocative,obstruct,to restrict,to express
征服,conquest,conquer,inquest,contest
友好,amicable,amiable,admirable,be neither too familiar nor too distant
专制,despotism,counter-revolutionary,revolutionary,mean
合理性,rationality,still,yes,fall into a pattern
辛辣,piquancy,vivid,interesting,stiff
断头台,guillotine,pavilion,platform,altar
波动,fluctuation,not throw the troops into battle,excitedly,peace
胶粘剂,cement,client,semen,ferment
坚毅,fortitude,certitude,as one pleases,frail
显著,salient,aliment,saint,saline
试用(期),probation,promotion,privation,peroration
巡游,peripatetic,play,amusement,to play mahjong or cards
(尤指少女的)风度,deportment,department,movement,defect
使陷入,swamp,stump,swarm,swap
桨,oar,car,wag,scar
不幸,mishap,bishop,mislay,break out
产品,produce,product,reproduce,producer
匀称,eurhythmic,vast,penetrated,harmony
诽谤,aspersion,assertion,ascension,aversion
合并,incorporate,rally,trinity,fall apart
(土地或建筑物的)转让契约、证书,deed,reef,depend,heed
镇静,sedate,negate,senate,slate
做作,affectation,to pretend,to gasp for breath,to pant
陡升,sky-rocket,release,to spread,contract
二重唱,duet,diet,duct,dust
生态系统,ecosystem,telecast,punishment,glum
移民,migrant,emigrant,migrate,vibrant
因羞愧等脸上泛出的红晕,blush,brush,bush,lush
谷类食品,cereal,cream,carnal,real
写错地址,misdirect,indirect,invariable,bitter
气味,effluvia,will to fight,illusion,objective
弄脏,foul,soul,rout,howl
偷窃,pilfer,silver,filter,pillar
将(刀,sheathe,sheath,heathen,heath
裁判员,referee,reverie,reference,refer
罗嗦,prolixity,intercede,blind,tank
诡计,chicanery,a project of vital and lasting importance,mean ,scheme
狡猾,sly,fly,say,dry
酵素,enzyme,luxuriant,outset,bulldozer
营养不良,malnutrition,fever,beat,invert
变魔术,conjure,confuse,concur,conjurer
引起大笑,hilarious,vicarious,pitch,eyeball
隐喻,metaphor,am,instance,walk over leisurely instead of riding in a carriage
不适当的,unseemly,seemly,using a talented person in an insignificant position,to fit well 
起平衡作用,counterbalance,bomber,know,bucolic
耳的,auricular,stowaway,spongy,caustic
莠草,tare,rough,underbrush,wood shavings
一次性使用的,disposable,stack,decapitate,awl
