#word,meaning,option1,option2,option3
熟人,contact,contract,constant,contrast
横跨,cross,frost,gloss,across
金,gold,wood,mole,mild
呼吸,breath,breach,wreath,reach
板牙,die,dike,sip,dye
壮观,brave,brace,grave,bravo
柱,post,root,cast,lot
财产,money,monkey,bonny,mosey
挚友,brother,mother,brothel,broth
洞,hole,role,shoe,hope
呵责,rate,ray,rave,tape
生,produce,producer,profuse,reproduce
洪亮,big,fin,bring,wig
因此,therefore,wherefore,other,how 
爆发,burst,lust,nurse,bust
阴影,shadow,shallow,show,shade
炮,gun,don,bun,punk
船,boat,volt,boot,hot
担负,shoulder,boulder,solder,shudder
新鲜,new,now,hey,dew
发源,head,hind,herd,red
时机,moment,momentum,lament,movement
笑,laughter,daughter,slaughter,lighter
亲自,personal,impersonal,person,personage
迅速,readily,easily,deadly,really
进,into,veto,mint,lingo
提供,afford,effort,ford,fiord
月,month,mote,forth,smooth
你的,yours,you,ours,mourn
袭击,harry,curry,handy,hurry
公司,concern,concert,cancer,condemn
授予,accord,accost,actor,chord
雇用,staff,stay,stiff,stale
愉快,happy,nappy,sappy,poppy
住,house,use,hose,noise
路,road,rod,toady,rosy
情夫,lover,loser,power,liver
孔,bore,be,lore,tire
午夜,noon,coin,mood,moon
到原处,again,gain,avail,brain
说,remark,remain,remand,retard
流,stream,steam,scream,team
无益,useless,unless,ageless,no use
交易,business,foreign trade,volume of trade ,import and export
一对,couple,tousle,corpse,coup
小声说,murmur,murder,violence,dean
尺码,size,ooze,vide,fine
天使,angel,anger,danger,angelic
凿,pick,stick,prick,tick
仁慈,kindly,kindle,finely,windy
富有,fortune,torture,forte,fortunate
批准,license,licence,incense,visa
强度,strength,strengthen,illumination,level
一,a,as,tab,ad
人道,humanity,humanism,humanize,humility
逃脱,escape,scope,scale,cape
床,bed,see,be,red
压制,silence,silencer,licence,science
做加法,add,ash,and,lard
条理,method,metro,meteor,definition
装满,store,stoke,stole,story
记忆,memory,emery,merry,memoir
出征,expedition,exposition,cross swords,warlike
天,sky,sly,okay,ski
惭愧,ashamed,shame,pity,calm
比,than,tag,then,that
选择,choice,chic,choke,chore
信念,belief,beef,belie,believe
全体,all,yell,wall,boll
狂暴,angry,angst,canary,angel
反对票,no,into,sow,at
明智,wisdom,window,widow,frail
在将来,ahead,bread,plead,sheaf
逆,against,again,scorer,distil
纪,period,periodic,person,prior
分,distribute,chat,savage,virulent
紧急,instant,instinct,distant,intact
被普遍接受的,received,receive,receiver,deceive
态度,manner,dinner,tanner,magnet
对各个,each,etch,face,hatch
耗时,slow,slew,slot,tow
在...期间的某一时候,during,wring,firing,dung
斜坡,hill,till,hip,fill
一旦...,once,nonce,ounce,onto
冷淡,distant,instant,disputant,dissent
笑,laugh,lath,large,lash
兵营,camp,cart,tame,clamp
但是,but,big,hut,vat
供给,provide,profile,peroxide,provoke
任命,appoint,point,take job applications,appoint
到国外,abroad,broad,byroad,inroad
事情,matter,matted,pattern,martyr
虚度,moon,john,noon,moot
补救办法,help,leap,hey,pelt
履行,perform,performer,deform,reform
脾气,temper,timber,tempest,bumper
两者,both,lath,boll,berth
形状,shape,stage,shade,shame
好奇,curiosity,not be fond of certain food,to be afraid,be unable to carry on even for a single day
她自己,herself,ourself,himself,retentive
坦白,confess,countess,confuse,confer
停止,stop,stoop,top,sop
通常,usual,dual,mutual,unusual
贫乏,poor,boom,peer,poke
自负,important,importance,importune,impotent
集子,set,tea,sled,sit
开始,start,strait,scarf,spark
促进,advance,askance,advice,dance
可靠,certain,pertain,curtain,uncertain
沿,down,drown,loin,doom
稀薄,rare,hire,rate,dare
上铺,upper,jumper,sapper,super
展示,display,splay,displace,dismay
无知,ignorance,ignorant,answer the questions without any hitch,grand talents mature slowly
说话,speech,leech,specs,perch
平常,ordinary,urinary,ordinal,middle
第六,six,pi,slim,sew
饶恕,pardon,person,carbon,baron
官阶,dignity,dignify,divinity,signify
点子,spot,spew,split,set
发出,utter,shutter,cutter,patter
空气,atmosphere,way of life,phenomenon,surroundings
关于,concerning,to hold,rather,intorducing an object or a related object
隐瞒,hide,wade,he,hiss
军事家,soldier,solder,holder,collier
昨日,yesterday,day after tomorrow,tomorrow,the same day
法制,law,lap,awl,lay
树枝,branch,blanch,brunch,franc
肉体,body,boy,bandy,boob
高,high,sigh,hash,hie
欧罗巴洲,Europe,rope,grope,European
有,possession,possessive,obsession,gratuitous
第三十,thirty,thirsty,shifty,thirst
诸如此类,whatever,wherever,whatsoever,whenever
信任,faith,gait,fate,fat
缺点,fault,default,taunt,vault
后者,latter,later,gutter,otter
凿,cut,rut,tub,auto
发生,existence,to explode,issue,derivative
接替,succeed,success,screed,be on a business trip
增加,increase,decrease,crease,incense
精通,master,mastery,mister,muster
撕,tear,rear,team,than
任何事物,anything,nothing,chandler,advisory
意识,conscience,see clearly,to know well,forget
极限,utmost,inmost,outpost,most
很,mighty,eighty,nightly,might
发生,happen,happy,hasten,hamper
反而,instead,stead,instep,intend
受欢迎的,welcome,become,stomach,cast
成年女子,woman,yeoman,loan,workman
低语,whisper,whisker,whimper,wiper
看,behold,behind,bold,behalf
评价,opinion,pinion,dominion,option
惊奇,admiration,aspiration,adoration,fright
毛,hair,hard,heir,pain
精彩,wonderful,wise,lifelike,uncertain
知道,wit,oil,nut,win
想,dream,deem,pram,dreamy
工匠,smith,shit,kith,faith
发迹,success,successor,succeed,access
街区,street,sleet,steel,stet
作广告,ad,at,ado,sad
表示,be,pea,beg,bide
按,press,guess,cress,express
困难,terrible,horrible,to touch,convenient
忽视,slight,might,light,aright
教科书,reader,beaker,reaper,leader
钟声,bell,berk,hill,bald
忙的,engaged,engage,enrage,turn
不正确的,false,ease,pause,case
披上,don,row,loan,job
膝部,knee,key,keep,new
士兵,private,pirate,primate,probate
延迟,delay,rely,deaf,play
雪,snow,sow,crow,show
装填物,fill,wall,dull,file
快要...的,ready,weedy,mead,reap
将来,future,suture,nature,futile
或者,or,toy,your,on
好看,handsome,incapable,careful,be attached to one's native land and unwilling to leave it
威严,august,August,gust,adjust
危险,danger,dinner,dancer,hanker
很可能,probably,probable,hoe,close
实现,accomplish,accomplice,to come to an end,tarry
三月,march,arch,mash,hatch
戈瑞,gray,grub,tray,gram
中断,interrupt,intercept,power failure,to relieve pain
命题,sentence,sequence,penitence,Sanskrit
艺术,art,east,garb,axe
这些,these,thus,thence,theme
母,mother,smother,other,bother
节期,season,lesson,sermon,seasonal
得到,receive,recite,revive,receiver
没有人,nobody,embody,goody,anybody
又一个,another,panther,anthem,antler
成为绿色,green,glen,greens,preen
分开,separate,separable,to muster,trinity
损失,loss,loess,loch,less
当局,authority,authorize,a unit,swelling of the liver
廉价刺激性小说,dreadful,paradox,Pope,permeate
早的,early,earl,deadly,weary
脸红,color,honor,colon,clod
刺人,keen,teem,teens,jean
极其,most,mass,must,moist
使不见,disappear,crony,escort,damage
挤奶,meal,wean,deal,feat
伯父,uncle,angle,uncut,cycle
无限,immense,immerse,immune,incense
出版,appearance,survey,publish,to seal
贵重,precious,previous,precarious,precocious
不动,dead,deed,deaf,gad
悔憾,sorrow,morrow,borrow,harrow
撒沙于,sand,hand,panda,band
好奇,curious,cautious,various,furious
脱下,remove,reprove,revoke,revolve
请,beg,peg,beam,keg
教导,wise,wire,wake,wide
构成,form,norm,doom,bore
产业,domain,main,domino,remain
致命,fatal,fall,natal,metal
处理,conduct,conduit,connect,convict
被拉的量,draw,brew,raw,oral
证明,proof,broom,hoof,prop
接近,access,accost,accept,success
交易,trade,treadle,trans,evade
股份单位,unit,tit,unity,shit
歌曲,lay,bad,law,leg
后部,rear,bear,dear,rap
控制,hands,hand,band,pants
小时,hour,hook,for,home
暗示,suggestion,suggestive,to say,declare where one stands
读者,audience,ambience,member,reader
抱,bosom,boom,book,broom
姐妹,sister,muster,sinker,litter
理由,reason,treason,season,beacon
利,profit,probity,prompt,profile
发现,learn,near,clean,weary
科学事物,science,scene,since,silence
那里,there,hire,third,here
文学,literary,literacy,literally,library
认真,serious,perilous,nervous,furious
什么,what,whet,vat,hat
苦学,bone,wane,note,line
数字,figure,figured,fixture,inure
突然,cold,wold,scald,ford
来,come,become,same,cope
舌,tongue,tinge,tonne,rogue
公正,fair,flair,four,flier
率领,captain,attain,certain,contain
感到羞耻,shame,shaky,chime,spade
完全,total,oral,toil,iota
很可能,likely,lovely,lately,like
户,family,famine,amity,ramify
击倒,level,novel,bevel,devil
意思是,suggest,nugget,staircase,pal
嗓音,throat,throw,thrift,throaty
厨房,kitchen,ditcher,kitten,pitcher
不断,constant,content,constancy,consent
破晓,morning,burning,turning,past one's prime
蛋,egg,kg,pig,keg
顽皮,bad,bay,goad,baa
结婚,marry,wary,parry,tarry
道路,path,pot,fat,pat
首领,chief,chef,chaff,chew
用石铺,stone,stake,prone,store
持有,obtain,retain,detain,brain
也,either,neither,whither,litter
理论,theory,there,they,sherry
力,power,tower,poster,proper
向北方,north,forth,month,girth
投递,deliver,liver,delivery,derive
在...期间,in,ink,chin,on
想要,require,requite,enquire,acquire
五月,may,pay,nay,man
贞操,virtue,virus,virtual,virile
工作,task,desk,lash,mask
盯着看,gaze,gale,name,gauze
也许,possibly,possible,unexpected,roughly
密谋,scheme,theme,sphere,chime
外面,outside,subside,outsider,outline
暗淡,grave,crave,rave,gravel
坐部,seat,smart,meat,sea
音乐,music,musical,cubic,musty
采,pull,fall,scull,null
旋转,turning,burning,during,turbine
附属,attach,attack,attache,attract
同情,warm,farm,warp,warn
勇敢,bold,bill,boll,boon
知交,familiar,friendly ,peer,descendant
看守,guard,card,glare,glad
查看,view,mien,vie,die
遍及,through,tough,though,trough
热心,forward,forearm,onward,foreword
冬,winter,wringer,painter,cinder
使入座,chair,chain,hair,lair
舒展,stretch,screech,scratch,wretch
有耐心的,patient,patent,paint,parent
拆开,pieces,piece,faeces,pincers
完全,altogether,together,purely,almost, nearly
矿石,rock,cock,smock,pock
保守,keep,jeep,peer,week
确实,indeed,linseed,index,indebted
敷,minister,sinister,monster,administer
低劣,mean,man,lean,heat
骚乱,confusion,confession,collusion,infusion
在...上刻字,letter,latter,later,batter
心,heart,wheat,hearty,harp
玩弄,fool,fop,loot,cool
同一,same,sane,shoe,sue
具有,possess,obsess,hostess,assess
陈述,tale,walk,male,tilt
加在...上,with,hit,mirth,twit
空间,space,slave,shave,spice
四,four,foil,slur,sour
德国人,German,Germany,yeoman,vermin
发觉,feel,peel,jeep,feed
尽管,although,though,clear,anyway
仅仅,simply,imply,simple,silly
尊敬,respect,prospect,reject,resent
因为,because,cause,if not,despite
适合,agreeable,coincidence,coordinate with,symmetrical
他们自己,themselves,addle,mesmerism,compiler
一,one,fond,fine,rote
获得,buy,duo,bay,bar
晚的,late,fame,pave,bite
政党,party,parity,park,early
冒险,throw,throb,row,show
长段,length,lengthy,tenth,zenith
常常,often,open,soften,offer
使搭伙,board,boat,guard,boar
积极,active,inactive,action,alive
出身,origin,rigid,original,frigid
湿气,wet,weft,hot,hit
采邑,fee,bed,fob,flee
自己,own,of,man,row
难题,question,drill,homework,key 
启示,message,massage,passage,to direct
清单,bill,ill,till,ail
放,release,decease,rehearse,relegate
破坏,murder,girder,mourner,burden
痛苦,anger,canker,hanger,angst
添加,additional,addition,to increase,encryption
快走,speed,upend,seek,speak
集会,meet,week,melt,stet
使定型,machine,marine,machinery,ditch
拿,take,trade,case,tame
继续,continue,continual,confine,convince
祝,wish,waist,Jewish,posh
男人,fellow,willow,hollow,mellow
禀性,nature,mature,feature,azure
口,mouth,youth,moth,both
肥畜,heavy,heal,hay,levy
背,back,bane,beck,tack
在那里,where,theme,whet,nowhere
准备,prepare,preface,presage,to carry
小件物品,small,shall,sill,stall
放置,place,pace,plate,please
高,height,weight,fright,right
材料,material,maternal,paternal,arterial
恰当,happiness,inappropriate,not miss the farming season,portable
三分之一,third,thud,tire,thief
永远,forever,moreover,fever,forester
使人畏惧,awful,lawful,manful,annul
寂寞,lonely,lovely,money,lordly
用,use,owe,musk,fuse
条件,terms,term,hers,terse
礼拜堂,church,hunch,hutch,chuck
那个,that,thaw,tray,than
听从,listen,blister,kitten,glisten
适合,become,income,before,begone
增长,growth,grower,growl,grow
老的,old,wold,fold,out
这种,such,luck,sun,etch
诗,poem,pool,loam,teem
疼痛,painful,gainful,sinful,manful
在对面,opposite,oppose,composite,lilt
壮丽,splendid,pretty and flirtatious,good-looking,enchanting
不对,yes,web,hers,beg
时刻,occasion,occasional,constantly,frequently
王裁,royal,vocal,roan,rota
国民,nation,satin,inaction,notion
艺术家,artist,artiste,attest,artistic
给...择址,site,mitt,suite,rite
同样,also,allow,alas,else
以版权保护,copyright,repine,gadget,farce
把...分给,portion,portico,option,potion
祷告,prayer,player,payer,primer
不恰当的,unhappy,snappy,happy,nappy
包,wind,wild,nine,bind
在中间,between,envious,muscle,elemental
近似,near,bear,meal,rear
理由,sake,save,slake,dare
选出,single,mingle,tinge,shingle
种类,variety,vanity,rarity,satiety
差的,dim,dig,dime,km
傍晚,evening,morning,daytime,late at night
它的,its,hit,bps,cos
付,pay,pane,ray,lay
不,without,washout,helpful,spasmodic
熨斗,iron,micron,icon,prone
全体,general,mineral,renewal,generate
忍受,go,tow,cod,kg
刺激,excitement,excrement,boost,before a verb] handle, deal with
接受,accept,accent,ascent,except
停止,check,wreck,crack,cheek
宝座,throne,thrice,phone,throes
两倍,twice,twine,twist,twitch
自豪,pride,trice,prime,prude
有,have,base,pave,halve
首都,capital,capitate,marital,capstan
还是,still,skill,stiff,silk
细察,search,perch,teach,starch
军队,host,moss,most,hoot
第五十,fifty,city,hefty,fifth
豪华住宅,palace,palate,balance,palaver
错误,error,juror,enrol,prior
连串,train,trade,frail,brain
他们,they,there,when,them
攻击,attack,attache,attach,aback
说谎,lie,mike,pike,be
能,energy,clergy,nervy,emerge
毁坏,ruin,fin,run,rain
不常,seldom,serfdom,segment,tangible
阶层,society,satiety,sobriety,socket
斗争,war,tax,gag,jar
迄今,yet,lest,bet,jet
欢快,smile,senile,small,mile
女性后裔,daughter,slaughter,laughter,brother
使有代表,represent,present,reprehend,glasshouse
烹调,cook,cork,cop,folk
公民,citizen,individual,public figure,each person
不久,presently,present,day by day,and even
敌国,enemy,emery,every,entry
发送,send,spend,set,second
进路,approach,reproach,ravine,ponderous
谷粒,corn,core,cot,clown
教育,education,seduction,duration,adulation
为什么,why,she,ashy,shy
高兴,glad,grab,glee,glum
视觉,vision,fusion,evasion,visitor
葡萄酒,wine,nine,wink,wise
智力低下的人,natural,aural,nature,unnatural
较长,longer,linger,anger,lone
白色,white,spite,chute,wipe
毒品,hop,fop,whoop,hug
使,cause,course,cane,cube
开始,begin,resin,beget,basin
装饰,deck,dice,dean,beck
为了,for,per,fore,coy
事,affair,flair,afar,affirm
风暴,storm,norm,stony,stole
领袖,leader,teaser,weaver,bearer
含金,golden,solder,gold,wooden
以前,ago,agony,go,tango
恰当位置,position,positive,opposition,deposition
国君,prince,price,rice,since
价格,price,pumice,prince,urine
学科,study,stud,sturdy,tidy
行走路程,walk,wag,elk,half
印象,impression,repression,oppression,expression
罗马天主教徒,catholic,carbolic,arsenal,erase
精神,mental,metal,venal,rental
务必,must,cyst,zest,musk
正面,front,froth,root,franc
纯洁,clean,cream,glean,jean
一群人,public,rubric,republic,publish
最少量,least,lead,lass,east
到处,throughout,throughput,clay,drown
