#word,meaning,option1,option2,option3
intoxicate,使喝醉,安全场所,有求知欲,钟
forearm,前臂,手肘,双手,腰部
vertigo,迷惘,筹措,得意,大发雷霆
buffer,缓冲,潮湿,粉末,猛力
cross,交叉,交替,顶风,间接
transcend,胜过,例如,仅次于,不止
criticize,批评,谴责,驳斥,引咎
aspirant,有抱负的人,法庭,地球,尘土
actuality,真事,市民,摸,停车场
phonetic,语音,叫声,嗓,音节
pave,密镶,断言,较好,主要
houseboat,居住船,存在,目录,分
abed,在床上,国家,染色,大陆
romp,轻快地跑,推动,母亲,靠在...上
overdue,过大,成功,打断,促进
tripe,肚子,阑尾,阴茎,心脏
swamp,沼泽,北美洲,内陆,草地
migrant,迁移,停留,风俗,住院
cereal,谷类植物,公地,专门,种类
kerosene,煤油,焦油,汽油,石油
capstan,绞盘,弹簧,皮带,齿轮
referee,裁判,开庭,传讯,判处
hilarious,引人发笑,暗示,否则,耐心
mat,使缠结,吉普车,漂流物,寻找
peep,初现,(复)被褥,我们亲自,大量
incision,切口,梦话,口号,脏话
neuralgia,神经痛,痒痒,咳嗽,疼痛
electorate,选举人,支持者,候选人,仆人
dialectic,辩证,驳斥,雄辩,辩白
reprieve,缓刑,刑事,死刑,上市
barrage,开火,检阅,挑战,应战
overt,公开,可疑,暗地里,不三不四
sparse,很小,大型,身高,中等
scoop,勺,(指人)离别,讨厌,护理
supervise,监督,蹲点,点名,督促
debut,首次进入社交界,求平方,标签,里面
globular,全球,全国,国家,第三世界
prig,纨绔子弟,变色龙,大炮,妖精
flaunt,藐视,注重,弃置,顾及
scribble,拙劣的作品,邮寄,逗留,难以置信
accord,授予,寄予,敦促,发汗
staff,工作班子,解救,(电话)号码簿,不飞
damp,矿井瓦斯,(比赛)得分,童年,分别
vapid,乏味,滑稽,可怜,例行
coma,怠惰,承受,办事,垮
twirl,扭转,多达,挨打,享受
athletic,体育,卫生,义务教育,思想
flute,长笛,钢琴,琴弦,布景
whet,刺激,强加,促进,杜绝
gazelle,瞪羚,君主,目的,好意
confound,使混乱,汽油,真心,位置
hobble,跛行,上升,听由,数量
kiln,窑房,忠告,收音机,曲奇饼
optional,随意,痛快,故意,毫不
crossroad,十字路口,入口,洞口,售票口
rooster,雄禽,浓,独立派人士,关系
vengeful,报复,报仇,麻醉,报应
dope,给服药,米饭,产业(上)的,(使)生根
limp,格律不顺,非常,地区,外部
appertain,属,野外,发喷嚏声,(火车)车厢
clog,木屐,拖鞋,布鞋,王冠
excrement,排泄物,财宝,红宝石,文物
palsy,使麻痹,无生命的,一段,美丽的事物
dimple,酒窝,额角,下巴,脸颊
toothless,无强制实施手段的,夫人,中止,速溶
solder,接合物,制图者,私人,惩罚
container,容器,瓷器,消防栓,连接器
etymology,同源学,发源地,废话,然后
gong,锣,欢乐,领域,丛林
parochial,狭隘,富于,广博,广阔
aviation,航空,巡弋,行驶,航行
harrow,耙,补种,备耕,耕
shear,剪,被想起,代,发出(气味等)
fiftieth,第五十,报纸,部门等的)领导人,最重要的
desperado,暴徒,霸王,独裁者,妖孽
onerous,有偿,买卖,产销,包销
scamper,快跑,(汽车后部)行李箱,理解,有暴风雨
fishy,鱼的,张,提到,主要
coastal,海岸,山峰,南沙,对岸
kimono,和服,寿衣,旗袍,泳衣
specify,明确地讲,看守人,拖(船)上岸,倾斜
longevity,长寿,雌雄,健全,机动
overtime,加班,编程,同事,包工
handcuff,镣铐,枷,板子,脚镣
compost,混合物,介质,金属,文物
steppe,大草原,登广告,让,区分
trestle,支架,褥子,被子,架
measurable,不久,不止,甚至,光是
tawdry,俗丽而不值钱的服饰,不动摇地,区别对待,蛋等)
liqueur,利口酒,身强力壮的人,难处理的,完全
scapegoat,替罪羊,难民,逃亡者,被害人
upholstery,家具装饰用品业,正规(式)的,成长,部分
sweater,发汗剂,论文,宽容,新近
magnesia,氧化镁,穿,祖国,喜欢
