the	det.定冠词;表示特指
of	prep....的;含有...的
and	conj.和
to	prep.到;离
in	prep.在...里面;在...期间
that	det.那个
his	pron.他的;它的
he	pron.他;一个人
it	pron.它
with	prep.加在...上;在...一边
for	prep.为;为了
as	prep.当作;像conj.当...时;像...
you	pron.你;你这个
not	adv.并非;不
be	v.表示;是
her	pron.她
on	prep.靠近...;在...里
at	prep.向;在...里
by	prep.偏于;在...旁边
which	pron.那个;那些
have	v.拿取;有
or	conj.或者
from	prep.从;从...来
this	pron.后者;这
him	pron.他
but	conj.但是
all	adv.单单;更其pron.全体;一切
she	pron.它;她
they	pron.人们;他们
my	det.我的
me	pron.我
one	n.一;一体
their	det.他们的
so	adv.啊;同样conj.为了;因此
an	det.一
them	pron.那些;他们
we	pron.我们;人们
who	pron.谁;他
will	aux.将;能n.决心;意愿
no	adv.不;毫不n.不;反对票
when	adv.其时;什么时候conj.其时;一...就
there	pron.那里
if	conj.假如;使
more	adj.更大的;另外的adv.更;再
out	adv.出;呸prep.从...里面;从...中出来
up	prep.往...的上端;往...的上游
into	prep.朝;进
do	v.做
any	adv.多少;略pron.若干
your	det.你的
what	pron.什么;无论什么
man	n.男子;人
other	adj.别的;不同的n.对立的事物
than	conj.比;除...
our	det.我们的
some	pron.很多;一些
very	adv.非常
time	n.时间;时刻v.调准;为...定时
upon	prep.覆盖;接触
about	adj.活动中的prep.在...附近;在...前后
may	aux.会;可能n.五月
its	det.它的
only	adj.独生的;唯一的adv.不料;只
now	pron.现在
like	adj.相同的;相像的prep.比如;像conj.好像;如同v.喜欢;要
little	adj.小的;幼小的adv.毫不;难得
then	pron.那时
can	aux.可以;能n.大酒杯;容器v.把...装罐保存
us	n.美国pron.人们;我们
such	adj.那么的;这种的
a	det.一
great	adj.大的;久的n.大人物
before	adv.较早;以前prep.在...前面;在...以前conj.不愿...;在...以前
must	aux.必须;务必
two	n.第二;二
these	det.这些
see	v.察看;看
know	v.记住;确知
over	adv.报文完;下prep.高于;在...的上方
much	adv.常常;十分
down	prep.往...的下端;沿
after	prep.随...之后;在...后面conj.在...以后
first	adj.第一的;基本的adv.宁可;先
good	adj.好的;正当的
own	adj.自己的n.属于自己的东西v.承认;有
never	adv.不;从不
most	adv.极其;最
old	adj....岁的;老的
shall	aux.将要;一定
day	n.天;昼
where	adv.在哪里;在那里conj.然而;在...处
those	det.那些
come	v.搞;来
himself	pron.他亲自;他自己
way	n.方法;方面
work	n.工作;职业v.经营;工作
life	n.生命;一生
without	adv.外表上;在外面prep.不;无
go	v.对付;忍受
make	n.牌子;体质v.构成;做
well	adj.对的;井的adv.好;很n.好;井v.涌出;流出
through	prep.遍及;从...头至尾
be	v.表示;是
long	adj.长的;长时间的adv.长久;始终v.渴望;归属
say	adv.哎呀;大约n.决定权;细哔叽v.讲述;说
might	n.大量;力量
how	adv.多少;怎样
am	v.be的第一人称现在时形式
too	adv.很;太
even	adj.均匀的;平的adv.甚至;完全v.使平衡;使平坦
again	adv.到原处;又
many	adj.许多的pron.许多人
back	adj.背后的;边远的adv.往回;向后n.背;缸v.使后退;后退
here	pron.这里
think	v.想;想像
every	det.每一个
people	n.人;人民v.居住于;使充满
same	adj.同样的;同一的
last	adj.最低的;最后的adv.上一次;最后v.度过;楦
away	adv.走吧;走开
under	prep.在...之下
take	n.捕猎;拿v.拿;执住
hand	n.脚;手v.搀扶;交
eye	n.目光;视力v.看;考虑
still	adj.静止的;平静的adv.还是;还要v.静止;渗出
place	n.场所;地方v.放置;得名次
while	conj.虽然;直到v.消磨
just	adj.应得的;正义的adv.刚才;只是
also	adv.也;而且;同样地
young	adj.年轻人的;幼小的
yet	adv.还;迄今;尽管
though	adv.可是;尽管conj.可是;即使
against	prep.对...不利;逆
thing	n.事;物
get	v.获得;取得
ever	adv.总是
give	v.给予;交给
god	n.上帝n.男神;神
year	n.年;年度
off	prep.离...;偏离...
face	n.表面;脸v.面朝;朝
nothing	pron.没有东西
right	adj.合适的;正当的adv.好;正当地n.实况;正当v.补救;纠正
once	adv.一次;一旦conj.一旦...
another	pron.又一个
part	n.一部分;组成部分v.放弃;分开
saw	n.锯;锯床v.锯;锯成
house	n.房屋;棚v.覆盖;住
world	n.世界
head	n.上端;头v.长头;发源
three	n.第三;三
new	adj.新的;新鲜的
love	n.爱;爱情v.爱;恋爱
always	adv.永远;总是
put	v.放;出发
night	n.黑夜;夜
each	adv.对各个pron.各个
king	n.大王;君主
between	adv.在中间prep.联接着...;在...之间
tell	v.吩咐;讲
mind	n.头脑;智力v.记住;照料
heart	n.内心;心
few	adj.很少的;有些pron.很少数;少数
because	conj.因为
thing	n.事;物
whom	pron.谁;他
far	adj.较远的;远的adv.远
seem	v.感到好像;好像发生
look	n.察看;看v.看
call	n.号声;呼叫v.呼唤;叫
whole	adj.全部的;整个的n.全部;统一体
set	n.集子;一套v.放;落
both	adv.在两方面同样地pron.两者
find	n.发现;发现物v.发现;找出
look	n.察看;看v.看
name	n.名字;外号v.把...叫作;给...取名字
day	n.天;昼
let	n.出租;租户v.使;允许
lord	n.主;君主;领主v.称...为勋爵;指挥
country	n.地区;国
ask	v.问
going	adj.成功的;去的n.地面状况;去
better	adv.多;更好地v.超过;改善good的比较级
home	adv.在家;在家乡n.家;家庭v.回家;有家
side	n.边;旁边v.同意;赞助
something	pron.某;某物
moment	n.片刻;时机
father	n.父;父亲v.生
among	prep.被...所环绕;系...中之一
course	n.进行;行动方向v.追;跑
hands	n.拥有;控制
woman	n.成年女子;女人
enough	adj.足够的adv.够了;很
word	n.词;话v.通知;讲话
mother	n.继母;母v.生;产生醋母
soon	adv.不久;早
full	adj.彻底的;满的
end	n.端;终止v.结束;胜过
room	n.房间;一套房间v.占一房间
almost	adv.几乎
small	adj.细小的;小的n.狭窄部分;小件物品
water	n.矿泉水;水v.喷淋;饮水
want	n.缺乏;需要v.缺乏;要
however	adv.不管怎样;究竟怎样
light	adj.淡色的;轻的adv.轻装地n.光;光感v.点;照亮
quite	adv.很;完全
nor	adv.也不
word	n.词;话v.通知;讲话
whose	det.谁的
door	n.门;门状物
turn	n.翻动;旋动v.翻动;旋动
doe	n.雌鹿
use	n.用;用途v.发挥;用
morning	n.初期;破晓
myself	pron.我亲自;我自己
until	prep.向;在...之前conj.在...以前;直到...时
since	adv.从那以后;之前prep.自...以来conj.因为;自...以来
power	n.力;能力v.促进
themselves	pron.他们亲自;他们自己
us	n.美国pron.人们;我们
rather	adv.宁可;有几分
present	adj.出席的;现在的n.现在;礼物v.表示;提出
voice	n.禽鸣声;说话声v.给...整音;说
other	adj.别的;不同的n.对立的事物
white	adj.白色的;无血色的n.白色;纯洁
work	n.工作;职业v.经营;工作
less	adj.较小的adv.较小地
money	n.财产;货币
next	adj.紧邻的;居后的adv.接下去;下次
poor	adj.贫乏的;贫穷的
death	n.灭亡;死
form	n.模型;形体v.构成;形成
within	adv.户内;内心prep.在...里面;在...之内
together	adv.到一起;同时
till	prep.及于;在...以前conj.在...以前;直到...为止
large	adj.大的;开阔的
matter	n.实体;事情v.化脓;要紧
kind	adj.和蔼的;友好的n.类;种类
often	adv.常常;通常
certain	adj.固定的;可靠的
herself	pron.她亲自;她自己
year	n.年;年度
friend	n.朋友;赞助者
half	n.半;半场
order	n.次序;整齐v.命令;整理
round	adj.丰满的;圆的n.圆圈;圆形物prep.围绕;向...各处v.变圆;环行
true	adj.纯正的;真的adv.纯种地;真实地v.装准
anything	pron.任何事物
keep	n.保持;供养v.保管;保守
wife	n.妇人;妻子
mean	adj.卑鄙的;低劣的n.平均;中间v.意味着;意指
believe	v.认为;想
pass	n.境况;通过v.超过;经过
near	adj.近的;近似的adv.近;近似地prep.靠近v.靠近
public	adj.公开的;公众的n.公众;一群人
state	n.心情;形态v.陈述;确定
son	n.儿子;女婿
hundred	n.第一百;一百
thus	adv.如此;因此;迄今为止
hope	n.希望v.希望;相信
alone	adj.单单;单独的adv.单独地;仅仅
above	adj.上面出现过的adv.在顶部;在上面prep.多于;高于
case	n.框;箱v.探察
dear	adj.可爱的;亲爱的adv.非常;呵n.可爱人;亲爱的
say	adv.哎呀;大约n.决定权;细哔叽v.讲述;说
person	n.家伙;人
high	adj.高的;高地的adv.高;高价的n.高地;高峰
city	n.城市;全市居民
already	adv.马上;已经
received	adj.被普遍接受的
fact	n.事实;细节
girl	n.女孩子;女仆
hear	v.听;听见
time	n.时间;时刻v.调准;为...定时
least	adj.最少的adv.最少n.最少量
perhaps	adv.或许
sure	adj.可靠的;确信的adv.当然;无疑
indeed	adv.哦;确实
open	adj.开着的;空旷的n.旷野;露天v.开;开辟
body	n.躯干;肉体
itself	adv.究竟pron.它自己;自身
along	prep.沿着;依照
land	n.地产;陆地v.靠岸;落下
return	n.回;送回v.回报;回
leave	n.告别;许可v.丢弃;经过
air	n.空气;天气v.晾;晾
nature	n.大自然;禀性
answer	n.答案;反应v.回应;回击
either	adv.也pron.任何一个
law	n.法律;法制
help	n.帮助;补救办法v.帮助;助
lay	adj.世俗的;外行的n.层;歌曲v.置放;产卵
point	n.尖;尖形部件v.显示;指
child	n.小孩;婴儿
letter	n.信;字母v.在...上刻字
four	n.四;匍匐
wish	n.请求;希望v.但愿;祝
fire	n.电炉;火v.烧制;发热
speak	v.讲;说
number	n.数目;算术v.把...编号;计数
therefore	adv.因此
hour	n.时间;小时
friend	n.朋友;赞助者
free	adj.自由的adv.免费地;松开着v.使摆脱;使自由
war	n.斗争;战斗v.击败;斗争
during	prep.在...期间的某一时候
several	pron.几个
business	n.交易;职业
whether	conj.是...;是否
manner	n.方式;态度
second	adj.次要的;第二的adv.第二;以第二位n.秒;片刻v.赞成;支持
reason	n.理由;理智v.劝喻;讨论
unit	n.单位;股份单位
call	n.号声;呼叫v.呼唤;叫
general	adj.笼统的;全体的n.将军;上将
why	adv.为什么
behind	adv.在背后;在过去n.后卫;屁股prep.落后于;在...后面
john	n.厕所;男人
become	v.适合;变成
dead	adj.不动的;死亡的adv.全然地;直接地
earth	n.尘世;地球v.把...接地;用土掩盖
boy	n.男孩;男子
forth	adv.往外;向前
thousand	n.第一千;一千
look	n.察看;看v.看
family	n.户;家
soul	n.精神;灵魂
feel	n.触;触觉v.触;发觉
England	n.英格兰
spirit	n.精神;灵魂v.鼓励;偷偷地走
question	n.难题;问题v.怀疑;问
care	n.小心;忧虑v.喜欢;关心
truth	n.实情;事实
really	adv.很;说真的
rest	n.长眠;平静v.长眠;休息
mean	adj.卑鄙的;低劣的n.平均;中间v.意味着;意指
different	adj.差异的;各别的
possible	adj.可能的
fell	adj.残暴的;剧痛的n.折缝;山v.缝;击倒
towards	prep.对;向
human	adj.人的;似人类的n.人
short	adj.矮的;短的adv.唐突地;突然地n.短路;要点v.卖空;短路
town	n.城市;镇
follow	v.跟随;伴随
need	aux.须要n.缺少;需要v.缺少;需要
cause	n.理由;事业v.使;使产生
evening	n.傍晚;后期
return	n.回;送回v.回报;回
five	n.五
strong	adj.极大的;强壮的adv.强烈地;强有力地
able	adj.得以...的
live	adj.活的;真的adv.在现场v.过;活
lady	n.贵妇人;女士
subject	adj.臣服的;需要...的n.题目;学科v.使臣服;提供
answer	n.答案;反应v.回应;回击
sea	n.海;内海
fear	n.害怕;可能性v.害怕;恐怕
understand	v.得知;理解
hard	adj.坚硬的;紧的adv.坚硬地;困难地
terms	n.条件;细则v.接受;妥协
doubt	n.迟疑;怀疑v.怀疑;迟疑
around	adv.兜着圈子;在周围prep.环绕;在...各处
ask	v.问
arm	n.臂;军种v.提供;武装起来
turn	n.翻动;旋动v.翻动;旋动
sense	n.感官;感觉v.检测;了解
seem	v.感到好像;好像发生
black	adj.黑暗的;黑色的n.黑色v.变黑
bring	v.促使;出产
follow	v.跟随;伴随
beautiful	adj.出色的;美的
close	adj.紧的;近的adv.接近地n.结束;终止v.关;关
dark	adj.黑暗的;深黑n.黑色;黑暗
hold	n.拿;船舱v.表现;掌着
character	n.品德;性质
sort	n.性质;种类v.拣出;符合
sight	n.检查;看见;视觉v.观测;看到
ten	n.第十;十
show	n.演出;展览v.陈列;给...看
party	adj.共有的;政党的n.党;队;聚会
fine	adj.快的;美好的adv.很;细小地n.罚金;租费v.使纯;变纯
ready	adj.快要...的v.使准备好;准备好
story	n.情节;小说
common	adj.公共的;普通的n.共用牧地
book	n.卷;书v.预订;预订
electronic	adj.电子的
talk	n.讲话;闲话v.讲;谈论
account	n.记述;解释v.报帐;导致
mark	n.马可福音;马可n.短线;符号v.标明;评分
interest	n.利益;趣味v.使参与;使感兴趣
bed	n.床;卧室v.睡;性交
necessary	adj.必然的;必要的
age	n.成年;年龄v.使老;变陈
else	adv.否则;其他
force	n.力;武力v.强迫;逼叫
idea	n.计划;思想
longer	adj.较长
art	n.美术;艺术
spoke	n.辐条
across	prep.穿过...;与...相交叉
brother	n.兄弟;挚友
early	adj.早的;早期的adv.从前;早
ought	v.欠;占有
sometimes	adv.以前;有时
line	n.纹路;线v.出局;填
say	adv.哎呀;大约n.决定权;细哔叽v.讲述;说
table	n.一桌酒菜;桌子v.把...列表
appear	v.出现;露面
river	n.河;巨流
eye	n.目光;视力v.看;考虑
sun	n.恒星;日光v.晒;晒太阳
later	adv.后来;再见late的比较级
everything	pron.每件事;一切
reach	n.地带;伸出v.到达;伸出
sudden	adj.突然的;迅速的
hour	n.时间;小时
strange	adj.陌生的;外地的
deep	adj.深的;有...深的adv.强烈地;深深地n.海;海渊
change	n.改变;更动v.改变;换去
mile	n.英里
feel	n.触;触觉v.触;发觉
act	n.幕;行为v.扮演;演
meet	n.集合;集会v.接;遇见
further	adv.此外;更远地v.促进far的比较级
purpose	n.目的;效用
happy	adj.乐意的;愉快的
add	v.添加;做加法
seem	v.感到好像;好像发生
blood	n.血;血统
rose	n.玫瑰;玫瑰色;玫瑰香水
south	adj.南部的;在南方的adv.向南方n.南;南部
beyond	prep.迟于;深于
cold	adj.感觉冷的;冷的adv.突然地;完全地n.感冒;冷
neither	adv.也;也不pron.无一个
forward	adj.热心的;早的adv.提前地;向前n.前锋v.促进;发送
view	n.观看;视力v.查看;观看
position	n.恰当位置;位置v.安放;驻扎
sound	adj.健康的;牢固的n.声;音v.宣告;发音
none	pron.没有一个;没有一人
enter	v.参加;登记
clear	adj.纯色的;清晰的adv.离开着;完全v.扫清;变晴
road	n.街道;路
late	adj.迟的;晚的adv.迟;晚
stand	n.停住;站立v.经受;容忍
suppose	v.猜想;假定
daughter	n.女儿;女性后裔
real	adj.逼真的;真的
nearly	adv.极;几乎
mine	n.矿;矿藏pron.我的v.采;开矿
law	n.法律;法制
knowledge	n.熟悉;知识
come	v.搞;来
bad	adj.坏的;顽皮的
cut	n.切;切口v.切;凿
copy	n.本;原件v.抄袭;抄写
husband	n.夫;管家v.持有;使有丈夫
six	n.第六;六
France	n.法兰西
peace	n.和平;和约
low	adj.低的;浅的adv.低;低声地
north	adj.北部的;在北方的adv.向北方n.北;北方
remember	v.记得;牢记
effect	n.感受;结果v.产生;使发生
natural	adj.有关自然的n.智力低下的人
pretty	adj.妙的;漂亮的
fall	n.降落;落下v.砍倒;跌倒
fair	adj.公正的adv.公正地;正面地n.美;女人
service	n.服务v.检修;为...服务
below	adv.在楼下;在下面prep.低于;在...下面
except	prep.除...外conj.除非;除了v.把...除外;反对
hair	n.毛;头发
pass	n.境况;通过v.超过;经过
copyright	n.版权v.以版权保护
do	v.做
army	n.军队;陆军
run	n.跑步;赛跑v.跑;逃
horse	n.马;骑兵v.发情;上马
future	n.将来;前途
open	adj.开着的;空旷的n.旷野;露天v.开;开辟
pleasure	n.高兴;娱乐v.使高兴;觉得高兴
history	n.过去;历史
west	adj.西部的;西方的adv.向西方n.西;西部;西方
pay	n.报偿;付钱v.付;付款
red	adj.红的;通红的n.红;红球
note	n.按语;短笺v.记录;注意
although	conj.虽然;尽管
want	n.缺乏;需要v.缺乏;要
gold	n.金;金币
make	n.牌子;体质v.构成;做
desire	n.要求;愿望v.渴望;要求
play	n.比赛;玩v.开;玩
master	n.艺术家;主人v.精通;统治
office	n.办公室;处
front	adj.前面的;正面的n.前面;正面v.对抗;面向
big	adj.大的;洪亮的adv.成功地;大量地
certainly	adv.当然;无疑地
wind	n.风;圈;气息v.包;绕
receive	v.得到;收到
attention	n.考虑;注意
government	n.政府;政体
church	n.礼拜;礼拜堂
strength	n.力;强度
length	n.长;长段
company	n.公司;群
paper	n.文件;纸v.用纸包起;贴糊墙纸
letter	n.信;字母v.在...上刻字
probably	adv.很可能
glad	adj.高兴的;乐意的
important	adj.重要的;自负的
especial	adj.亲近的;特别的
yourself	pron.你亲自;你自己
fellow	n.男人;人
bear	n.玩具熊;熊v.忍;压
