#word,meaning,option1,option2,option3
contact,使接触,书店,由,集会场所
bunch,串,试卷,喊,背
hatch,孵出,晚辈,租用,故障
criticize,批评,责备,谴责,保密
pave,铺,灌木,穿过,握手
indoors,在室内,驱逐,抢劫,抽象
acceleration,加速,日落,提前,安定
greedy,贪吃,打喷嚏,大便,醉
post,邮寄,打电话,寄送,汇寄
conquest,克服,肃清,消灭,毁灭
cement,粘结,并联,对垒,切断
moisture,温度,面积,气温,体温
partly,部分,纷纷,个别,总体
swamp,沼泽,亚洲,平原,中美洲
rate,比率,利率,得票率,折射率
remedy,补救,拼命,效忠,致力
deed,行为,暴行,动作,王权
fourteen,十四,成就,水塘,向下
melt,使融化,产业(上)的,故障,提出(议案等)供讨论
burst,使爆裂,料想,门,飘过
shadow,影子,荧光,本影,激光
sly,躲躲闪闪,轰隆声,盖章,到达
slip,滑跤,自始至终,有道理,电视观众
juice,汁,狂热,覆盖于…顶端,小径
mat,席子,床单,窗帘,帱
Australia,澳大利亚,中华民国,发展中国家,最惠国
refrigerator,冰箱,谷仓,核电站,仓库
decade,十年,年份,新年,去年
peep,偷看,瞥,参观,面对面
waist,腰,怀抱,臀部,肚皮
illness,病,瘟疫,合影,暴病
shoulder,肩,颈部,脖颈儿,胸部
nylon,尼龙,银河系,容纳,演员
conversely,相反,不妨,那样,朝向
president,校长,霸主,周恩来,参赞
racial,种族,武汉,合肥,墨西哥城
undergo,忍受,过于,至少,最多
intellectual,智力,斗志,才智,度量
cliff,悬崖,矿山,香山,黄山
nuisance,讨厌的东西,将来,使大量落下,法国人的
butter,奶油,药膏,药物,奶酪
laughter,笑,啧啧,重音,男高音
strap,捆扎,卷入,卷曲,扣
jaw,颌,零售商人,悲叹,力量
maximum,最大,加,马上,一道菜
personnel,全体人员,胃,剥去...的皮,又
craft,手艺,本能,力量,高技术
voluntary,自愿,不甘,能够,闭门思过
personal,个人,国有,隔开,本职
consequently,所以,于是,那末,鉴于
readily,无困难地,七十,姑父,震动
hydrogen,氢,朴素,响声,任何东西(事物)
afford,担负得起…,有经验的,成本,喜爱
cancer,肿瘤,白痢,动脉硬化,喉炎
hay,干草,藜,薄荷,蘩
steward,乘务员,先生,营业员,理发师
plastic,塑料,钻石,海绵,翡翠
refuge,庇护者,坦率,要求,频道
concern,关系,有关,无关,埋没
October,十月,八月,四月,二月
ice-cream,冰淇淋,汽水,牛奶,冰砖
accord,使一致,相反(事物),乐趣,射击
confirm,批准,打印,不准,签证
economical,经济学的,象袜子一样的东西,扫帚,击剑
happy,快乐,大快人心,下跪,拜倒
Greek,希腊,成员国,最惠国,祖国
damp,潮湿,崭新,破旧,现有
tiny,微小,深厚,温和,虚弱
rely,依赖,由,跟,为了
chess,棋,新闻报道,埋葬,二十分之一
haircut,理发,打扮,安神,改装
tempt,引诱,胁迫,引入,强制
cart,二轮运货马车,占用,底部,千克
baggage,行李,总书记,总理,李鹏
visual,看得见的,捏造,邀请,需要
lover,情侣,男朋友,中介,新娘
bore,使厌烦,窘境,拳击,给…洗澡
pitch,投,大受欢迎,订(货),经常
woollen,羊毛制的,平底锅,布线,别针
security,安全,悠闲,幸福,经济危机
robe,浴衣,旗袍,盔甲,衬衫
liberate,解放,打翻,内乱,变革
optional,可以任意选择的,因此,锋利,护理
stern,严厉,鄙吝,宽限,革命
landlord,房东,厂主,所有者,学徒
disorder,骚乱,和平,困扰,淫猥
unsuitable,不合适的,跺脚,健全,纵深
remark,评论,评比,点名,评估
stream,河,收获,工作人员,品质
preface,引语,按语,备考,题跋
peasant,农民,招待员,传达,跑堂儿的
drug,药材,中药,茅台酒,果酒
widely,广,匀净,琐细,无限
amaze,使惊奇,故障,立场,扫
journey,旅行,跋涉,对开,远征
promote,提升,丢饭碗,当选,得意
Italian,意大利的,十三,才能,陆地
discuss,论述,详述,列举,描述
fold,合拢,复合,东拼西凑,分开
