scour	n.擦;除垢剂v.擦掉;擦
thirtieth	n.第三十;第三十日
comment	n.批评;闲话v.评论;注释
gala	adj.节日的n.节日;节日服装
segment	n.部分;段v.分割;细胞分裂
sharpen	v.加重;削尖
socialist	adj.社会党的n.社会党人
vanquish	v.征服
gull	n.妓女;鸥v.欺骗
rob	v.盗窃;抢
antiquary	n.古文物收藏家
brood	n.全体孩子;一类v.孵;想
cancel	v.抵消;取消
drastic	adj.激烈的;严厉的
etymology	n.阐述词源;同源学
cherub	n.漂亮的孩子;小天使
filter	n.滤器;去尘器v.过滤;滤出
meter	n.计;邮资机v.用计计量;用表计量
gnaw	v.咬
trickle	n.滴;涓滴v.使滴;滴
brigand	n.土匪;违法
colonnade	n.成行的树;柱廊
fender	n.挡泥板;防御物
mince	n.切碎的食物v.切碎;细分
tumult	n.波动;吵闹
hump	n.驼背;驼峰v.溜放;隆起
copious	adj.多产的;丰富的
decadence	n.堕落
sporadic	adj.分散的;孤立的
widen	v.加宽;变宽
deduce	v.演绎
illuminate	adj.被照亮的v.阐明;照明
hurrah	adv.好n.激动;叫好声
braid	n.辫子;穗带v.编结;镶缀
egress	n.出口;外出v.出
floral	adj.福罗拉的;花的
beck	n.点头;鞠躬v.向...示意;示意
diaphragm	n.隔板;膈
tablecloth	n.桌布
extraneous	adj.额外的;体外的
proficient	adj.熟练的n.能手
depress	v.按下;使抑郁
gag	n.塞口物;石斑鱼v.戏弄;窒息
mister	n.平民;先生
uncover	v.揭露;揭去盖子
umpire	n.裁判员;仲裁人v.当裁判员
human	adj.人的;似人类的n.人
surmount	v.克服;优于
atomic	adj.原子的;原子能的
pianist	n.钢琴家
apple	n.苹果
wetting	n.润湿;遗尿
curvature	n.曲;曲率
infuse	v.泡;被泡
emit	v.发表;发出
engross	v.正式写成
queen	n.酋长夫人;王后
kerosene	n.煤油
twitch	n.抽动;抽痛v.急拉;夹
barrack	n.棚屋;营房v.大声鼓噪
bet	n.打赌;赌金v.敢说;打赌
uplift	n.上升;抬起v.抬起;提高
forceful	adj.强有力的
drone	n.懒汉;雄蜂v.懒散地度;嗡嗡叫
locomotion	n.旅行;运动
muddle	n.糊涂状态;混乱状态v.把...弄糟;使糊涂
proffer	n.提供v.提供
sediment	n.沉积;沉积物v.使沉积;沉积
