#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
ramification,分支,国立,个人,同胞
deter,吓住,困扰,缠绕,激怒
contact,接触,摩擦,撞见,润滑
courtesy,礼貌,礼节,风土人情,开幕式
bunch,一串,通俗,航线,只...)
stuntman,特技演员,羊肉,壁,举动
gullible,易受骗的,(用链条)拴住,选举,当时
hatch,孵,产卵,野生,生存
transcend,超越,便宜,宰制,遏制
hijack,劫持,抢劫,断路,犯法
phonetic,语言上的,量词,方言,连词
pave,铺,装置,架构,组装
subliminal,潜意识的,哪个人,想让…做,永远
adolescence,青少年,大小,大人,姥姥
swerve,转向,改口,改编,推广
greedy,渴望,向往,要求,追求
conception,受孕,发病,怀孕,人道
overdue,(债款)到期还未付,影响,国内,懒惰
conquest,攻取,扰乱,打破,侵犯
congested,挤塞,使发烧,毛皮,孙女
upkeep,维持,在前,保温,陷于
syllable,音节,叫声,叮当,语音
cement,水泥,烂泥,丹砂,石灰
probation,试用(期),期考,补考,笔试
swamp,沼泽,田野,半岛,内陆
oar,划(行),(使)变老,博学,规定饮食
mishap,不幸,暴发,顺利,发迹
encyclopedia,百科全书,碑帖,年鉴,小册子
remedy,治疗,素描,按脉,雕刻
incorporate,合并,团结,三位一体,久违
hum,嗡嗡声,形成,诡计,旅行
ecosystem,生态系统,勤劳,对..感到抱歉,过路人
migrant,移民,秘书,土著,会计
blush,脸红,抱头痛哭,怕羞,哀叹
cereal,谷物,孢子,菌类,小麦
foul,丑恶,毒辣,那个,那些
melt,(使)融化,果敢,目的,链条
kerosene,煤油,石油,焦油,汽油
referee,裁判,审讯,传讯,审判
myth,神话,卷,散文,本子
enzyme,酵素,野外,山岗,访问
malnutrition,营养不良,真诚,升起,邮筒
slip,滑倒,改进之处,校长,垃圾
hilarious,充满欢乐,活动,不可能的,晚年
oncoming,接近,一般来说,不可同日而语,俨然
metaphor,隐喻,比喻,安步当车,看作
counterbalance,使平衡,跳动,羡慕,记录(时间、速度等)
refrigerator,冷藏室,经得起,追逐,军队
strategic,关键,没关系,基本,敝
decade,十年,年长,当年,去年
disposable,可任意使用的,工艺,现在,吩咐
carousel,喧闹的酒会,围棋,横杆,针状物
stagnant,不流动的,熄灭,停火,收盘
incision,切口,梦话,脏话,口号
intellect,理智,兽性,性行,孩子气
insolvent,无钱还债,支配,纽带,贡献
nylon,尼龙,加强语气)自己的,贵重物品,雇用
tumour,瘤,机关,赘瘤,痞
conversely,相反,这么,哪里,不妨
entice,纵恿,引入,欺凌,惊吓
speculate,推测,感到,主张,认为
undergo,遭受,享受,挨打,领受
intellectual,智力,度量,才思,斗志
costume,剧装,斗篷,哔叽,长袍
ultrasonic,超声,低音,男高音,重音
nuisance,讨厌的东西,厕所,货摊,地方性的
abolish,废除,舍弃,断送,埋没
provoke,煽动(行动),新闻提要,募捐者,领口
strap,用带捆扎,试穿,障碍,标志
fanatic,狂热,崩漏,瘫痪,发狂
maximum,极限,半边,界限,北回归线
personnel,全体人员,大声,哨所,毛病
overt,公开的、非秘密的,篇,田埂,天花板
craft,船,算盘,烟囱,水槽
sparse,稀少,层出不穷,微不足道,有的
voluntary,自愿,无意,得不到,悔改
personal,身体,纳税人,前辈,众议员
scoop,穴,刨子,凿子,纺锤
supervise,监督,督促,监视,备查
readily,容易,满足,供需,存在
hydrogen,氢,轻微,评论,图书馆
afford,提供,需要,供应,并行不悖
cancer,癌症,白痢,喉炎,白粉病
dominant,支配,超越,不可逾越,抑制
credible,可信,可以,多心,拥护
steward,乘务员,营业员,会计,干部
precipitate,匆忙,迫切,惊慌,从容不迫
incongruous,不调和的,楼梯,闪现的亮光,北方的地区
concern,与…有关,经,年龄最小的人,他们
algae,藻类,莨菪,香草,薄荷
flaunt,炫耀,照亮,放射,反射
accord,使一致,离家,充满活力,情况
confirm,使坚固,这样的人,推进,有分歧
insolent,粗野,操切,漂浮,耐心
inapt,不合宜的,工业用的,盲的,电报
economical,节省,浪费,抽出,足够
staff,配备工作人员,各自,使处于...状态,成为(表示变化)
damp,打湿,奥秘,饲养员,恶劣)的
interim,临时,独自,日趋,每每
tenancy,租佃,包租,出租,包场
rely,依靠,可比,比照,替
decentralize,排除集中,平静,低声说出,通讯员
muscular,肌肉,不随意肌,头皮,眼皮
peril,危机,问题,内政,公务
tempt,吸引,致死,致使,敦促
cardinal,首要,卑微,严重,昂贵
meticulous,细心,庄严,拖拉,认真
invigilate,监考,蹲点,督促,点名
cart,手推车,斗车,拖车,殡车
baggage,行李,叶利钦,马歇尔,首相
visual,视觉,反感,灵感,遥感
maize,玉米,麦子,大麦,冬小麦
bore,钻孔,野生植物,持续,象
pitch,音高,硬度,亮度,力度
notional,概念,本义,笔录,笔法
security,安全,治安,经济危机,不绝如缕
legible,可辩认的,控制,某人,一年一次
optional,可以任选,危险,(健康状况)有所好转的,出于本性
stern,(面容等)严厉的,心甘情愿,责任,支持
cosmic,广大无边,使羞愧,途,八十
granular,粒状,加调味品,（餐厅等的）菜单,活跃
embark,上船,行驶,搭乘,骑马
disorder,使紊乱,转播,车闸,上演
chaos,混乱,贫穷,整齐,方便
allergy,过敏症,暗疾,流行病,肝炎
preface,引言,题词,按语,题跋
nourish,提供养分,保育,收养,服务
stall,畜舍,(定期在某地举行的)音乐、戏剧节等,爆炸,难对付的人(事)
entrant,大学新生,试卷,为...表示感激,医药
amaze,使惊愕,钩住,一桶之量,弱的
business,生意,工程,核工程,事务
provisional,暂时,寒冷,瞬间,半天
promote,宣传,责成,响应,提倡
murmur,低声说,手杖,迅速翻阅,未击中
kangaroo,袋鼠,松鼠,鳄鱼,海豚
limp,蹒跚,蹑,奔走,徐步
splint,（固定断骨的）夹板,出版,一般,工厂
nominate,命名,吊销,解散,免职
pick,镐,素材,公务员,镭
opaque,不透明的,除去,祝愿,进展
excrement,排泄物,红宝石,豆渣,宝石
dormant,冬眠,口渴,安眠,清醒
oxide,氧化物,白磷,泻盐,水银
efficient,有效率的,衬托,鼎立,互通
regression,逆行,行驶,巡航,航空
halt,停住,截至,停火,下课
posterity,后代,密友,朋友,同辈
humanity,人文学科,奇特,历史,搓
disperse,(使)分散,和…在一起,安葬,次
upright,笔直,曲折,肥硕,骨头架子
cushion,垫子,摆钟,衬垫,帐篷
parade,检阅,交锋,开战,背城借一
port,港口,变电站,不冻港,车站
rupture,破裂,断头,折断,耸立
